[*] Computing DDT
[+] DDT Computed
DDT took 57.602µs
Iter#700283 New set #300000 of size 6 (2.3 its/hit = 0.000s/hit): seed=7826237557622224412 [3, 4, 6, 7, 9, 15]
Iter#932892 New set #400000 of size 6 (2.3 its/hit = 0.000s/hit): seed=16737736589524866067 [1, 6, 8, 12, 13, 14]
Iter#1166208 New set #500000 of size 6 (2.3 its/hit = 0.000s/hit): seed=15621143958229957345 [0, 2, 3, 7, 11, 13]
Iter#1399700 New set #600000 of size 6 (2.3 its/hit = 0.000s/hit): seed=381372242216826321 [2, 4, 9, 10, 11, 14]
Iter#1632481 New set #700000 of size 6 (2.3 its/hit = 0.000s/hit): seed=1700145468313522142 [3, 5, 8, 10, 11, 15]
Iter#1866348 New set #800000 of size 6 (2.3 its/hit = 0.000s/hit): seed=10850295677198195236 [0, 1, 2, 5, 9, 15]
Iter#2099586 New set #900000 of size 6 (2.3 its/hit = 0.000s/hit): seed=12849894087064397884 [4, 5, 8, 11, 12, 14]
Iter#2332841 New set #1000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=15422555227106259483 [0, 2, 3, 6, 8, 15]
Iter#4669119 New set #2000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=868944002590413573 [2, 3, 8, 10, 13, 14]
Iter#7002737 New set #3000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=17841798412141060921 [3, 5, 8, 10, 11, 15]
Iter#9335451 New set #4000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=4178201803945230082 [1, 7, 11, 12, 14, 15]
Iter#11667298 New set #5000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=14538041885655806428 [0, 4, 5, 7, 10, 12]
Iter#13998736 New set #6000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=4868627163744386369 [6, 7, 8, 11, 13, 15]
Iter#16333707 New set #7000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=6729156466531655977 [0, 2, 3, 7, 11, 13]
Iter#18663527 New set #8000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=8380661803257111966 [1, 3, 4, 7, 10, 11]
Iter#20999580 New set #9000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=6502119208279039152 [0, 2, 5, 6, 10, 11]
Iter#23332408 New set #10000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=9711621444708676943 [2, 3, 8, 10, 13, 14]
Iter#46662943 New set #20000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=1590203716414729178 [6, 7, 9, 10, 12, 14]
Iter#69993405 New set #30000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=5217289346693839510 [2, 3, 8, 10, 13, 14]
Iter#93316475 New set #40000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=4261598658175846510 [3, 4, 6, 7, 9, 15]
Iter#116656993 New set #50000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=8947139369999009776 [6, 7, 8, 11, 13, 15]
Iter#139986425 New set #60000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=8659546647767581343 [2, 5, 6, 7, 8, 14]
Iter#163314319 New set #70000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=3134080627830144553 [0, 1, 9, 11, 13, 14]
Iter#186645109 New set #80000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=15014361494085122333 [3, 5, 8, 10, 11, 15]
Iter#209972208 New set #90000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=3571284577938690245 [0, 1, 3, 4, 8, 14]
Iter#233305302 New set #100000000 of size 6 (2.3 its/hit = 0.000s/hit): seed=10682201811177031619 [4, 5, 9, 10, 13, 15]
