[*] Computing DDT
[+] DDT Computed
DDT took 22.346074621s
Iter#1 New set #1 of size 46 (1.0 its/hit = 0.000s/hit): seed=17887781068965852176 [0, 220, 446, 3049, 4439, 4992, 5562, 6319, 6917, 6968, 7119, 7412, 7531, 7829, 7950, 8301, 8519, 8696, 8905, 9851, 10099, 11431, 12999, 13470, 14083, 14552, 16089, 17831, 18828, 20137, 20509, 20929, 21148, 21773, 21897, 21977, 22803, 24868, 26635, 26721, 27691, 28057, 29407, 31324, 31349, 32689]
Iter#2 New set #2 of size 46 (1.0 its/hit = 0.000s/hit): seed=16833899735157169275 [0, 344, 1063, 3056, 3545, 4735, 6344, 6381, 6587, 7111, 7206, 7306, 7536, 7565, 8069, 8261, 8762, 10619, 11293, 11421, 12201, 13168, 14463, 14703, 14944, 15158, 15647, 15661, 15688, 15729, 15890, 15906, 16043, 16381, 17917, 18509, 19468, 20425, 21605, 24326, 27267, 27439, 28372, 29958, 30316, 30471]
Iter#4 New set #1 of size 47 (4.0 its/hit = 0.000s/hit): seed=4618645250506887294 [0, 2048, 3424, 3795, 4266, 5938, 7278, 7783, 8157, 8223, 9872, 10047, 12240, 12477, 12570, 12652, 13729, 14618, 14748, 15831, 15886, 16289, 16369, 20646, 21145, 22601, 22717, 23558, 23636, 24410, 24747, 24919, 26010, 26149, 26692, 26913, 27089, 27282, 28140, 28185, 28598, 29535, 30343, 30504, 30767, 31644, 32146]
Iter#6 New set #2 of size 47 (3.0 its/hit = 0.000s/hit): seed=7533204510441132242 [0, 802, 1218, 1678, 3342, 3875, 4071, 5223, 7860, 7882, 8037, 8231, 8481, 8543, 10531, 10990, 11345, 11562, 11940, 12722, 12773, 13871, 13906, 14078, 15554, 16682, 16828, 17115, 17131, 17457, 17971, 18537, 18816, 19171, 20361, 20379, 21112, 21209, 22166, 23585, 24261, 24328, 28066, 29354, 31446, 31481, 32025]
Iter#11 New set #1 of size 50 (11.0 its/hit = 0.000s/hit): seed=2482308483324875901 [0, 516, 1455, 1461, 1506, 1712, 1804, 2663, 3748, 4425, 4440, 5314, 5618, 6904, 7645, 8031, 8305, 8973, 9679, 10231, 11032, 12163, 12525, 13067, 14395, 14434, 14956, 16484, 17258, 17319, 19821, 21173, 21240, 21507, 22002, 22370, 23098, 23212, 24829, 25536, 25815, 26786, 26994, 27426, 27745, 28249, 28618, 29941, 30767, 32616]
Iter#40 New set #1 of size 51 (40.0 its/hit = 0.000s/hit): seed=4799048451199916543 [0, 17, 247, 754, 1090, 2091, 2992, 3331, 5651, 5735, 5798, 7085, 7640, 9200, 9487, 9806, 10332, 11972, 12068, 12491, 15201, 15216, 15817, 15911, 16556, 16754, 17970, 18880, 19303, 19698, 20190, 20331, 21277, 22858, 22875, 23359, 23645, 25131, 25146, 25277, 25453, 26516, 26571, 29000, 29616, 29850, 30441, 30715, 30843, 31071, 31460]
Iter#55 New set #1 of size 57 (55.0 its/hit = 0.000s/hit): seed=3790874747475538123 [0, 215, 482, 1801, 1989, 2267, 3730, 3943, 4897, 5112, 5852, 7708, 7888, 7949, 7973, 8409, 8637, 9102, 10294, 10490, 11413, 12579, 12783, 12933, 13144, 13508, 14645, 15710, 16363, 17524, 17852, 18580, 19576, 19614, 20053, 20122, 20295, 20839, 20867, 21070, 21119, 23155, 23666, 25295, 25297, 25362, 25380, 28432, 28526, 28764, 29120, 29331, 29542, 30310, 30713, 31441, 31639]
Iter#970 New set #2 of size 57 (485.0 its/hit = 1.500s/hit): seed=14918824237993456619 [0, 97, 950, 1118, 1490, 2027, 3134, 5425, 5758, 5881, 6263, 6728, 7663, 8155, 8959, 10428, 10567, 10728, 10775, 10881, 10895, 11043, 11288, 12643, 12694, 12981, 13092, 13707, 13744, 14041, 14202, 15105, 16541, 17237, 17396, 17603, 22883, 23188, 23261, 23749, 23827, 24321, 24492, 25044, 26496, 27876, 28001, 28147, 29034, 29437, 29625, 30695, 30714, 30762, 31979, 32192, 32547]
Iter#1061 New set #3 of size 57 (353.7 its/hit = 1.333s/hit): seed=6138367575891051298 [0, 97, 147, 1254, 1429, 1687, 1817, 2139, 2767, 3051, 3980, 4166, 4485, 4552, 9157, 9203, 9456, 9598, 9806, 11009, 11521, 12833, 13231, 14392, 14574, 14702, 15059, 15081, 15660, 16503, 17185, 17675, 18268, 18565, 19433, 20242, 20901, 22149, 22200, 22516, 22871, 22920, 23867, 24642, 25421, 25848, 26069, 26626, 28442, 28495, 29075, 29375, 29980, 30498, 30886, 31067, 31853]
Iter#2186 New set #4 of size 57 (546.5 its/hit = 2.000s/hit): seed=15597491571671892484 [0, 1170, 1180, 1297, 2132, 2521, 3888, 4648, 4777, 4922, 5137, 5451, 8369, 8504, 8514, 8811, 8857, 9190, 10222, 10357, 10632, 10801, 11810, 11939, 12078, 12112, 13528, 13874, 13965, 14273, 14368, 14803, 15031, 16641, 17811, 18142, 19126, 19172, 20685, 21194, 22023, 22150, 23528, 23747, 24304, 24854, 24922, 26225, 26560, 26715, 27149, 27276, 27429, 27440, 28301, 28578, 29022]
Iter#2439 New set #5 of size 57 (487.8 its/hit = 1.800s/hit): seed=4954959878193271271 [0, 137, 367, 667, 2198, 3299, 3342, 4010, 4671, 5238, 5411, 5454, 5630, 5706, 6108, 6482, 6877, 7395, 9281, 9337, 10399, 10822, 11439, 11837, 13436, 15444, 16223, 16264, 16463, 16510, 18359, 18580, 18597, 18950, 19681, 20665, 21053, 21184, 21341, 21623, 22088, 23949, 24035, 24587, 25059, 25533, 28238, 29045, 29671, 29981, 29996, 30087, 30372, 31182, 31976, 32198, 32247]
Iter#2499 New set #6 of size 57 (416.5 its/hit = 1.500s/hit): seed=17373316245013574972 [0, 274, 345, 532, 1109, 2080, 2315, 3120, 4012, 4227, 4474, 4520, 4543, 4566, 4859, 4870, 5034, 6119, 6870, 7382, 8684, 8803, 9698, 9787, 10239, 10453, 10902, 11921, 12218, 12632, 13669, 13769, 13874, 14105, 14261, 14839, 14960, 16747, 16768, 17262, 17944, 18218, 19044, 20334, 20642, 21731, 22036, 23697, 24140, 25594, 27290, 28321, 28929, 29223, 29798, 31707, 31855]
Iter#2825 New set #7 of size 57 (403.6 its/hit = 1.429s/hit): seed=11180773844942318135 [0, 750, 958, 1514, 1620, 1905, 2361, 2524, 2658, 2913, 3126, 3205, 3614, 3976, 5202, 5625, 6011, 6039, 6640, 8351, 9153, 9335, 9755, 10139, 10404, 10787, 13266, 14243, 14430, 17665, 19658, 20223, 21695, 22396, 22636, 23426, 23686, 23922, 24300, 25038, 26836, 27336, 28475, 28485, 29535, 29986, 30172, 30535, 30901, 30919, 31217, 31219, 31923, 32212, 32296, 32387, 32503]
Iter#4013 New set #8 of size 57 (501.6 its/hit = 2.000s/hit): seed=877015682698457666 [0, 101, 270, 1842, 2208, 3191, 3374, 5764, 5892, 5983, 7164, 7738, 8806, 9148, 9891, 9969, 10512, 11005, 11509, 12908, 13304, 13575, 13719, 13946, 14378, 14440, 14707, 15368, 15441, 15466, 15750, 15827, 16385, 16830, 17424, 18666, 18737, 22201, 22239, 22391, 22496, 22757, 24123, 24290, 24656, 25190, 25316, 25533, 27065, 27695, 29916, 30496, 31055, 31959, 32036, 32135, 32570]
Iter#4294 New set #9 of size 57 (477.1 its/hit = 1.889s/hit): seed=4261353710238491248 [0, 84, 158, 716, 728, 1420, 1909, 2974, 3203, 3729, 3938, 5101, 5934, 6535, 7206, 7218, 8200, 8332, 8464, 10930, 10982, 10994, 11419, 12265, 13017, 13324, 13336, 13476, 15702, 16626, 16969, 18173, 18972, 19607, 20620, 22009, 22331, 22383, 22928, 23418, 23711, 25044, 25974, 26537, 26673, 28568, 30108, 30441, 30952, 31211, 32031, 32137, 32221, 32231, 32641, 32662, 32758]
Iter#4554 New set #10 of size 57 (455.4 its/hit = 1.800s/hit): seed=7949879046706692963 [0, 663, 1636, 2105, 3080, 3155, 3307, 5617, 5926, 6056, 6841, 6943, 8374, 8801, 9600, 9703, 10735, 10926, 10968, 11215, 11786, 12338, 12479, 12692, 13408, 13569, 13914, 15469, 16481, 19185, 19344, 19849, 20409, 20876, 21567, 21752, 21854, 22382, 22409, 22870, 24425, 24601, 25294, 25952, 25996, 26486, 26556, 28503, 28857, 29257, 29549, 30655, 31921, 32091, 32371, 32619, 32725]
