[*] Computing DDT
[+] DDT Computed
DDT took 315.152751ms
Iter#1 New set #1 of size 34 (1.0 its/hit = 0.000s/hit): seed=734713444413843910 [0, 301, 339, 527, 800, 856, 926, 962, 1044, 1118, 1162, 1305, 1426, 1497, 1506, 1618, 1917, 2004, 2213, 2267, 2376, 2467, 2555, 2746, 2885, 2989, 3061, 3516, 3556, 3642, 3797, 4017, 4018, 4074]
Iter#2 New set #1 of size 35 (2.0 its/hit = 0.000s/hit): seed=6557031691766560868 [0, 309, 407, 422, 466, 540, 585, 670, 773, 974, 1046, 1074, 1176, 1245, 1450, 1556, 2021, 2334, 2430, 2587, 2654, 2746, 2764, 2887, 3021, 3323, 3380, 3386, 3447, 3472, 3604, 3860, 3921, 3929, 4082]
Iter#3 New set #1 of size 37 (3.0 its/hit = 0.000s/hit): seed=6603518732484136776 [0, 22, 29, 138, 154, 399, 429, 472, 483, 578, 784, 888, 1103, 1293, 1425, 1501, 1541, 1563, 1897, 2187, 2272, 2294, 2303, 2347, 2363, 2436, 2501, 2886, 2927, 2976, 3014, 3177, 3392, 3426, 3666, 3847, 3894]
Iter#9 New set #2 of size 37 (4.5 its/hit = 0.000s/hit): seed=17621277107665252403 [0, 80, 258, 320, 438, 468, 550, 585, 791, 1106, 1114, 1221, 1232, 1286, 1346, 1449, 1892, 2101, 2183, 2252, 2312, 2416, 2455, 2505, 2619, 2641, 2675, 2867, 3178, 3205, 3268, 3325, 3399, 3477, 3491, 3557, 3598]
Iter#25 New set #3 of size 37 (8.3 its/hit = 0.000s/hit): seed=3561033162931870330 [0, 107, 139, 186, 224, 249, 367, 623, 747, 752, 1007, 1037, 1410, 1665, 1842, 1897, 2271, 2285, 2412, 2657, 2720, 2759, 3003, 3120, 3161, 3237, 3329, 3376, 3382, 3488, 3514, 3544, 3607, 3901, 3934, 3966, 4002]
Iter#51 New set #4 of size 37 (12.8 its/hit = 0.000s/hit): seed=3053497016864767321 [0, 65, 177, 184, 452, 544, 618, 719, 761, 950, 954, 1177, 1761, 1799, 1807, 2128, 2190, 2217, 2220, 2237, 2363, 2524, 2594, 2603, 2630, 2775, 2836, 2978, 2986, 3232, 3315, 3396, 3427, 3552, 3887, 3899, 4080]
Iter#55 New set #5 of size 37 (11.0 its/hit = 0.000s/hit): seed=13557868694695767993 [0, 153, 240, 344, 393, 565, 581, 749, 1007, 1149, 1219, 1350, 1488, 1582, 1634, 1810, 1885, 1905, 1997, 2379, 2789, 2902, 2926, 3047, 3111, 3179, 3328, 3419, 3505, 3647, 3702, 3881, 3918, 3958, 3993, 4048, 4070]
Iter#102 New set #6 of size 37 (17.0 its/hit = 0.000s/hit): seed=4130100743027636538 [0, 55, 340, 351, 366, 376, 386, 615, 680, 711, 869, 1028, 1044, 1059, 1124, 1186, 1482, 1498, 1574, 1682, 1853, 2176, 2202, 2239, 2350, 2444, 2725, 3076, 3140, 3179, 3195, 3380, 3493, 3509, 3524, 3578, 3622]
Iter#103 New set #7 of size 37 (14.7 its/hit = 0.000s/hit): seed=18180586604878028618 [0, 25, 96, 107, 591, 749, 856, 903, 1010, 1030, 1096, 1152, 1307, 1327, 1571, 1616, 1631, 1659, 1780, 1803, 2027, 2225, 2242, 2409, 2507, 2751, 2772, 2908, 2935, 3068, 3098, 3196, 3400, 3479, 3795, 3867, 4024]
Iter#115 New set #1 of size 38 (115.0 its/hit = 0.000s/hit): seed=11376148983138000383 [0, 11, 55, 63, 164, 227, 326, 502, 700, 729, 810, 910, 992, 1031, 1032, 1534, 1938, 1998, 2080, 2090, 2245, 2630, 2644, 2721, 2779, 2832, 3009, 3206, 3218, 3226, 3340, 3389, 3520, 3752, 3767, 3838, 3857, 3928]
Iter#143 New set #1 of size 43 (143.0 its/hit = 0.000s/hit): seed=296814199762232549 [1, 85, 215, 349, 460, 511, 574, 648, 658, 762, 824, 1004, 1046, 1276, 1366, 1368, 1407, 1494, 1595, 1650, 1937, 1949, 2004, 2078, 2339, 2368, 2401, 2564, 2614, 2687, 2700, 2830, 2941, 2960, 3033, 3099, 3254, 3554, 3571, 3767, 3931, 3960, 4047]
Iter#394 New set #2 of size 43 (197.0 its/hit = 0.000s/hit): seed=13780685824370260170 [0, 118, 129, 310, 440, 598, 628, 802, 961, 984, 1221, 1459, 1481, 1515, 1528, 1643, 1708, 1724, 1753, 1902, 2195, 2310, 2332, 2340, 2672, 2812, 2909, 2961, 2985, 3161, 3223, 3242, 3332, 3388, 3616, 3737, 3771, 3787, 3919, 3964, 3977, 4017, 4094]
Iter#474 New set #3 of size 43 (158.0 its/hit = 0.000s/hit): seed=16666121726017674209 [0, 55, 60, 141, 241, 251, 252, 285, 674, 734, 863, 972, 1081, 1193, 1375, 1442, 1586, 1606, 1683, 1828, 1849, 1882, 1952, 2031, 2085, 2431, 2588, 2593, 2665, 2722, 3015, 3049, 3185, 3228, 3334, 3450, 3505, 3609, 3766, 3818, 3881, 3925, 4065]
Iter#904 New set #4 of size 43 (226.0 its/hit = 0.000s/hit): seed=12209815104891122984 [0, 25, 62, 145, 399, 430, 536, 547, 555, 571, 656, 708, 716, 831, 1005, 1018, 1360, 1527, 1542, 1955, 2000, 2002, 2016, 2028, 2179, 2273, 2396, 2402, 2641, 2739, 2775, 2917, 3079, 3134, 3215, 3290, 3590, 3681, 3689, 3718, 3726, 3760, 3928]
Iter#1046 New set #5 of size 43 (209.2 its/hit = 0.000s/hit): seed=4786302469489982794 [0, 14, 83, 341, 381, 536, 672, 835, 885, 994, 1121, 1123, 1149, 1257, 1336, 1364, 1377, 1574, 1653, 1838, 1847, 1856, 2045, 2055, 2122, 2143, 2177, 2258, 2373, 2407, 2431, 2519, 2654, 2755, 2891, 2923, 2927, 3175, 3282, 3472, 3695, 3751, 3828]
Iter#1351 New set #6 of size 43 (225.2 its/hit = 0.000s/hit): seed=6336085095080865278 [0, 240, 250, 267, 425, 630, 782, 788, 864, 962, 963, 1022, 1096, 1235, 1322, 2026, 2068, 2087, 2104, 2118, 2143, 2179, 2276, 2308, 2438, 2503, 2605, 2609, 2646, 2698, 2703, 2797, 2842, 3037, 3050, 3277, 3643, 3802, 3832, 3864, 4024, 4059, 4084]
Iter#1509 New set #7 of size 43 (215.6 its/hit = 0.000s/hit): seed=4885518727806371535 [0, 102, 285, 428, 587, 1005, 1041, 1053, 1246, 1466, 1500, 1522, 1628, 1700, 1919, 1968, 2158, 2209, 2227, 2247, 2554, 2743, 2784, 2816, 2987, 3001, 3023, 3052, 3063, 3150, 3276, 3344, 3355, 3436, 3453, 3454, 3479, 3686, 3700, 3802, 3864, 3921, 3969]
Iter#1692 New set #8 of size 43 (211.5 its/hit = 0.000s/hit): seed=5502745702302293991 [0, 80, 471, 511, 602, 612, 653, 764, 787, 811, 1105, 1416, 1462, 1487, 1678, 1825, 2093, 2137, 2476, 2554, 2664, 2712, 2713, 2729, 2769, 2803, 2822, 2872, 3063, 3140, 3191, 3279, 3284, 3306, 3386, 3544, 3546, 3621, 3685, 3796, 3915, 3984, 4026]
Iter#1762 New set #9 of size 43 (195.8 its/hit = 0.000s/hit): seed=15612259471594044992 [0, 77, 211, 249, 328, 473, 525, 526, 532, 678, 699, 763, 782, 800, 854, 934, 1074, 1237, 1263, 1455, 1584, 1659, 1676, 1977, 2244, 2252, 2471, 2492, 2675, 2717, 2766, 2794, 3079, 3164, 3181, 3411, 3537, 3574, 3589, 3757, 3845, 3998, 4013]
Iter#1840 New set #10 of size 43 (184.0 its/hit = 0.000s/hit): seed=15851710780587654722 [0, 96, 147, 204, 245, 346, 402, 457, 741, 867, 913, 972, 1081, 1139, 1174, 1288, 1389, 1473, 1663, 1815, 2073, 2084, 2161, 2209, 2222, 2230, 2638, 2786, 2962, 3013, 3015, 3033, 3111, 3124, 3232, 3317, 3609, 3722, 3862, 3907, 4048, 4076, 4079]
