[*] Computing DDT
[+] DDT Computed
DDT took 317.363989ms
Iter#1 New set #1 of size 25 (1.0 its/hit = 0.000s/hit): seed=137428018303002592 [212, 221, 578, 637, 1071, 1095, 1162, 1231, 1451, 1690, 1718, 2052, 2346, 2367, 2584, 2696, 3010, 3127, 3561, 3638, 3705, 3711, 3719, 3754, 4088]
Iter#2 New set #2 of size 25 (1.0 its/hit = 0.000s/hit): seed=14812335005421299569 [596, 605, 896, 1260, 1334, 1455, 1641, 1644, 2170, 2179, 2239, 2270, 2325, 2558, 2715, 2859, 2941, 2980, 3355, 3359, 3460, 3638, 3696, 3717, 3824]
Iter#3 New set #1 of size 28 (3.0 its/hit = 0.000s/hit): seed=2267952161528469058 [82, 93, 357, 835, 900, 1005, 1130, 1345, 1364, 1584, 1594, 1650, 2016, 2267, 2406, 2527, 2612, 2879, 2999, 3268, 3351, 3501, 3570, 3610, 3729, 3754, 3802, 3898]
Iter#4 New set #1 of size 33 (4.0 its/hit = 0.000s/hit): seed=14083785135095661053 [2, 382, 595, 614, 655, 685, 1101, 1174, 1176, 1219, 1226, 1365, 1461, 1465, 1830, 1886, 2005, 2190, 2247, 2584, 2586, 2782, 2828, 2876, 2907, 2964, 3470, 3505, 3704, 3804, 3910, 3962, 4025]
Iter#1335 New set #2 of size 33 (667.5 its/hit = 0.000s/hit): seed=591993640435505297 [45, 80, 217, 229, 295, 490, 532, 1060, 1074, 1172, 1267, 1375, 1443, 1515, 1561, 1743, 1756, 1823, 2048, 2287, 2318, 2329, 2450, 2465, 2579, 2591, 2598, 3069, 3481, 3628, 3633, 3664, 4068]
Iter#1371 New set #1 of size 36 (1371.0 its/hit = 0.000s/hit): seed=2404121092250740466 [109, 171, 224, 363, 404, 466, 690, 722, 727, 894, 1058, 1083, 1104, 1189, 1311, 1417, 1492, 1730, 1941, 2405, 2420, 2455, 2516, 2639, 2812, 2830, 2986, 3071, 3124, 3165, 3193, 3200, 3828, 3883, 4054, 4072]
Iter#3927 New set #2 of size 36 (1963.5 its/hit = 0.500s/hit): seed=16917975757692725884 [55, 241, 248, 415, 440, 647, 710, 993, 1182, 1218, 1586, 1653, 1889, 2158, 2197, 2251, 2298, 2397, 2422, 2474, 2504, 2551, 2636, 2730, 2815, 2896, 3033, 3220, 3222, 3282, 3303, 3446, 3673, 3722, 3938, 3995]
Iter#4941 New set #3 of size 36 (1647.0 its/hit = 0.333s/hit): seed=10937518525863131575 [173, 318, 408, 495, 542, 619, 845, 1254, 1441, 1497, 1673, 1682, 2102, 2173, 2184, 2200, 2226, 2295, 2332, 2389, 2401, 2422, 2729, 2740, 2835, 2884, 2934, 2948, 2982, 3165, 3243, 3544, 3549, 3742, 3769, 3916]
Iter#5874 New set #4 of size 36 (1468.5 its/hit = 0.250s/hit): seed=17167919517045629802 [130, 331, 392, 471, 782, 902, 1119, 1137, 1190, 1328, 1389, 1483, 1710, 1892, 1965, 1995, 2104, 2233, 2261, 2388, 2471, 2571, 2830, 2847, 3186, 3403, 3439, 3477, 3503, 3550, 3623, 3652, 3717, 3743, 4021, 4092]
Iter#6701 New set #5 of size 36 (1340.2 its/hit = 0.400s/hit): seed=16037944503574095916 [79, 172, 437, 476, 575, 912, 1000, 1164, 1208, 1232, 1499, 1600, 1771, 1810, 1896, 2087, 2148, 2170, 2235, 2276, 2327, 2555, 2953, 3215, 3229, 3306, 3442, 3467, 3576, 3646, 3875, 3883, 3905, 3946, 4053, 4055]
Iter#8613 New set #6 of size 36 (1435.5 its/hit = 0.333s/hit): seed=5629856153079361878 [217, 388, 598, 904, 1024, 1079, 1202, 1246, 1490, 1673, 1798, 2076, 2104, 2292, 2299, 2357, 2404, 2414, 2415, 2417, 2492, 2526, 2661, 2673, 2733, 2811, 2917, 2935, 2993, 3157, 3169, 3358, 3717, 3721, 3882, 4009]
Iter#9073 New set #7 of size 36 (1296.1 its/hit = 0.429s/hit): seed=9041966597940237400 [290, 543, 785, 958, 980, 1068, 1154, 1403, 1442, 1465, 1550, 1699, 1770, 1850, 2048, 2100, 2103, 2240, 2244, 2310, 2511, 2526, 2637, 2653, 2698, 2895, 2896, 3126, 3209, 3226, 3379, 3554, 3567, 3873, 3956, 4023]
Iter#9749 New set #8 of size 36 (1218.6 its/hit = 0.375s/hit): seed=15080986474188079644 [27, 94, 140, 251, 257, 274, 377, 378, 456, 556, 651, 800, 886, 1197, 1239, 1258, 1362, 1561, 1591, 1778, 1897, 1946, 2039, 2176, 2461, 2481, 2488, 2602, 2765, 3020, 3196, 3225, 3434, 3452, 3631, 3797]
Iter#10028 New set #9 of size 36 (1114.2 its/hit = 0.333s/hit): seed=15336214961836047544 [147, 294, 347, 416, 559, 563, 742, 806, 839, 868, 908, 911, 1199, 1218, 1456, 1578, 1906, 1998, 2022, 2146, 2211, 2341, 2364, 2374, 2418, 2427, 2581, 2662, 3024, 3073, 3150, 3516, 3650, 3714, 3937, 3955]
Iter#10086 New set #10 of size 36 (1008.6 its/hit = 0.300s/hit): seed=15212168865154764985 [253, 255, 413, 446, 467, 571, 949, 976, 1006, 1017, 1061, 1315, 1367, 1416, 1535, 1688, 1896, 1929, 2050, 2104, 2120, 2203, 2357, 2689, 2723, 2803, 2950, 3002, 3034, 3208, 3418, 3457, 3513, 3747, 3861, 4040]
