[*] Computing DDT
[+] DDT Computed
DDT took 5.409490816s
Iter#1 New set #1 of size 35 (1.0 its/hit = 0.000s/hit): seed=79106095143447036 [1305, 2272, 2641, 3194, 3261, 4037, 4160, 4245, 4331, 5220, 6612, 6698, 7501, 7657, 7703, 7934, 8094, 8987, 9419, 9608, 9613, 10476, 11160, 11464, 12061, 12067, 12601, 12664, 12741, 13433, 13782, 14315, 14407, 15642, 15956]
Iter#2 New set #1 of size 40 (2.0 its/hit = 0.000s/hit): seed=9736341623124116815 [623, 1054, 1452, 1506, 1687, 1955, 2610, 2800, 3263, 3447, 3893, 3983, 5063, 6153, 6784, 8189, 8324, 8932, 9074, 9332, 9375, 9653, 9974, 10081, 10179, 10921, 11571, 11724, 13034, 13123, 13445, 14011, 14193, 14231, 15063, 15283, 15804, 16270, 16294, 16327]
Iter#10 New set #1 of size 43 (10.0 its/hit = 0.000s/hit): seed=9579896322440805404 [182, 284, 600, 674, 812, 1605, 1899, 2436, 2564, 3579, 4649, 6855, 6978, 6980, 7016, 7476, 8369, 8726, 9129, 9167, 9474, 9658, 9728, 9874, 10291, 10526, 11522, 11616, 11674, 12125, 12229, 12312, 12443, 12723, 12932, 13546, 13751, 13774, 13790, 14785, 15012, 15014, 15259]
Iter#21 New set #2 of size 43 (10.5 its/hit = 0.000s/hit): seed=7650226227118986277 [156, 178, 1044, 1125, 1223, 1303, 1899, 2187, 3409, 3720, 3743, 3988, 4756, 4864, 5634, 6541, 6744, 6950, 7852, 7949, 8051, 8067, 8136, 8169, 8405, 8634, 8655, 9285, 9419, 10217, 10685, 11565, 12212, 12488, 13120, 13245, 13619, 13623, 14160, 14297, 14857, 15167, 15232]
Iter#34 New set #3 of size 43 (11.3 its/hit = 0.000s/hit): seed=14707152824656322912 [196, 501, 648, 767, 930, 931, 966, 1594, 1626, 1702, 2735, 3748, 3957, 4236, 4386, 4451, 4567, 4674, 4879, 4955, 5112, 5897, 6395, 6435, 6806, 6903, 8831, 10177, 10731, 10985, 11059, 11283, 11648, 11698, 12459, 13332, 13504, 14482, 14625, 14768, 15295, 15368, 16115]
Iter#76 New set #4 of size 43 (19.0 its/hit = 0.000s/hit): seed=13155436393413717756 [549, 896, 1174, 2987, 3901, 4383, 4576, 4593, 4625, 4831, 4938, 5019, 5217, 5561, 5628, 5698, 6519, 6575, 6870, 6929, 7057, 7503, 7695, 8144, 8520, 8611, 9183, 9693, 9879, 10725, 12187, 12381, 12945, 14010, 14351, 14393, 14551, 14607, 14706, 14732, 14912, 14920, 16245]
Iter#77 New set #5 of size 43 (15.4 its/hit = 0.000s/hit): seed=234422543770069903 [249, 524, 681, 720, 846, 1034, 1277, 1553, 2919, 2923, 3154, 4023, 4043, 4216, 5163, 6201, 6462, 6866, 6922, 7525, 8879, 8921, 10719, 11366, 11382, 11420, 11878, 11887, 12145, 12403, 12445, 12552, 12993, 13017, 13022, 14549, 14812, 15107, 15337, 15858, 15868, 15967, 16163]
Iter#89 New set #6 of size 43 (14.8 its/hit = 0.000s/hit): seed=13668227562012148196 [252, 267, 1028, 1294, 1590, 2510, 2742, 2962, 3676, 4666, 4786, 5854, 5906, 6457, 6477, 6504, 7302, 7845, 7955, 8564, 8801, 9088, 9403, 10629, 10633, 11003, 11244, 11339, 11499, 11793, 11803, 11818, 11862, 12567, 13680, 13729, 13841, 14104, 14717, 15105, 15378, 16229, 16238]
Iter#128 New set #1 of size 46 (128.0 its/hit = 0.000s/hit): seed=8377328243548247515 [190, 391, 610, 839, 846, 927, 1108, 1324, 1632, 2091, 3840, 4610, 5599, 6826, 6952, 7305, 7388, 7794, 8585, 8587, 8986, 9031, 9303, 9700, 10009, 10334, 10717, 10837, 11064, 11230, 11556, 12329, 12339, 12674, 12928, 13189, 14231, 14420, 15145, 15205, 15245, 15422, 15889, 16119, 16338, 16370]
Iter#214 New set #2 of size 46 (107.0 its/hit = 0.000s/hit): seed=12519043744340610579 [192, 694, 840, 1369, 1725, 2944, 3676, 4331, 4478, 5028, 5067, 5903, 6111, 6475, 7295, 7953, 8313, 8503, 8885, 8897, 9003, 9033, 9059, 9153, 9775, 10042, 10084, 11220, 11646, 11932, 12261, 12663, 13114, 13406, 13492, 13589, 14206, 14714, 14727, 14755, 15253, 15424, 15498, 15510, 15593, 16099]
Iter#231 New set #1 of size 49 (231.0 its/hit = 0.000s/hit): seed=4269456957296325564 [171, 500, 807, 1417, 2586, 2700, 2750, 2800, 3141, 3174, 3246, 3554, 4431, 4735, 4866, 4881, 5195, 5304, 5366, 6328, 6387, 6443, 6500, 6841, 7626, 7627, 8031, 8216, 8331, 8818, 8885, 9834, 9943, 10111, 10187, 10292, 11294, 11455, 11717, 12423, 13578, 13809, 14183, 14632, 15321, 15565, 15567, 15696, 15808]
Iter#313 New set #2 of size 49 (156.5 its/hit = 0.000s/hit): seed=9945051858219325135 [341, 991, 1554, 2004, 2226, 2248, 2489, 3510, 3823, 4753, 5757, 6451, 6543, 6801, 6818, 6915, 7034, 7148, 7154, 7916, 8026, 8103, 8543, 8588, 8955, 9220, 9362, 9791, 10957, 10970, 11007, 11079, 11846, 12172, 12779, 12839, 13043, 13309, 13720, 13954, 14133, 14223, 14319, 14375, 14394, 14791, 15360, 16214, 16308]
Iter#1054 New set #3 of size 49 (351.3 its/hit = 0.333s/hit): seed=8902679686251794993 [54, 234, 860, 1063, 1077, 1104, 1842, 2203, 3354, 3735, 4539, 4614, 5134, 5371, 6074, 6268, 6924, 7128, 7140, 7318, 7372, 7686, 8849, 9158, 9536, 10043, 10120, 10454, 10585, 11113, 11223, 11427, 12196, 12340, 12424, 12469, 12892, 13030, 13122, 13470, 13689, 13871, 14929, 15050, 15544, 15846, 15991, 16195, 16378]
Iter#3125 New set #4 of size 49 (781.2 its/hit = 0.750s/hit): seed=5343650363108460484 [398, 933, 1365, 1708, 2072, 3208, 3556, 3608, 3807, 4103, 4358, 4717, 4790, 5849, 5980, 5995, 6130, 6138, 6152, 6172, 6733, 6920, 6959, 7134, 7530, 7971, 8305, 8463, 8520, 9494, 9982, 10097, 10540, 10823, 10974, 11108, 11193, 11851, 12521, 12798, 13165, 13848, 13878, 14106, 14310, 15104, 15633, 15890, 16340]
Iter#5875 New set #1 of size 55 (5875.0 its/hit = 7.000s/hit): seed=5862968803005620042 [949, 1028, 1346, 1753, 1869, 1873, 2044, 2361, 2407, 2580, 2694, 2767, 2790, 3021, 3637, 3937, 3983, 4052, 4176, 4636, 4965, 5082, 5150, 5381, 5406, 6126, 6190, 6210, 7177, 7349, 7434, 7956, 8249, 8254, 8367, 8745, 8939, 9453, 9734, 9982, 10704, 11335, 11461, 12234, 12263, 12529, 12900, 13022, 13299, 13349, 14028, 15422, 15974, 16246, 16297]
Iter#37548 New set #2 of size 55 (18774.0 its/hit = 23.500s/hit): seed=6120073979995575328 [84, 398, 1121, 1129, 1613, 1948, 2074, 2503, 2526, 2674, 3882, 3917, 3943, 4275, 4539, 4598, 4622, 5212, 5248, 5669, 5836, 5870, 5975, 6050, 6261, 7070, 7350, 7845, 8154, 8314, 8562, 9013, 9027, 9091, 9282, 10109, 10323, 10565, 10829, 11000, 11076, 11688, 11693, 12039, 12461, 12576, 13216, 13374, 13615, 14370, 14624, 15753, 15797, 16076, 16092]
Iter#219119 New set #3 of size 55 (73039.7 its/hit = 91.667s/hit): seed=11174596405914805803 [225, 585, 721, 1032, 1406, 2224, 2282, 2453, 2643, 2679, 2994, 3180, 3397, 3625, 3719, 4049, 4316, 4768, 4952, 5255, 5455, 5558, 5788, 5892, 6036, 6233, 6489, 6662, 6664, 6721, 6827, 7743, 8053, 8485, 8503, 8937, 9035, 9345, 9420, 9478, 10288, 10842, 10888, 11110, 11956, 12551, 12916, 13462, 14112, 14166, 14298, 15173, 16024, 16377, 16382]
Iter#233595 New set #4 of size 55 (58398.8 its/hit = 73.500s/hit): seed=592712484541347529 [64, 173, 527, 804, 1087, 1466, 1598, 1633, 1705, 1873, 1975, 2099, 2321, 2779, 2913, 3171, 3656, 3734, 3801, 3825, 3826, 3963, 4079, 4419, 4728, 4766, 4843, 4991, 5664, 6092, 6134, 6658, 7192, 7448, 8068, 8339, 8605, 9104, 9132, 9451, 9633, 10373, 10893, 11021, 11466, 12464, 12831, 13150, 13252, 13403, 13481, 14742, 15714, 15762, 16180]
Iter#243333 New set #5 of size 55 (48666.6 its/hit = 61.200s/hit): seed=1112562670732143798 [678, 773, 840, 1051, 1184, 1812, 2150, 2347, 2375, 2898, 3243, 3543, 4273, 4582, 4637, 5461, 5474, 5754, 5835, 6464, 6973, 7042, 7223, 7997, 8913, 9337, 9731, 9818, 10330, 10377, 11193, 11297, 11508, 11744, 11754, 12115, 12785, 12995, 13013, 13091, 13618, 13757, 13942, 13945, 14198, 14379, 14451, 14519, 14559, 14716, 15031, 15109, 15311, 15786, 16027]
Iter#259325 New set #6 of size 55 (43220.8 its/hit = 54.333s/hit): seed=15742304168510062673 [228, 396, 555, 1023, 1224, 1663, 1672, 1805, 1870, 2145, 2413, 2702, 2819, 3893, 4024, 4061, 4097, 4182, 4195, 4384, 4385, 5204, 5707, 5907, 5927, 6925, 7125, 7235, 7413, 8126, 8458, 8700, 9278, 9620, 9980, 10003, 10143, 10428, 10556, 11180, 11310, 11335, 11492, 12037, 12093, 12250, 12377, 12635, 12651, 13475, 13959, 14962, 15475, 15923, 16060]
Iter#365619 New set #7 of size 55 (52231.3 its/hit = 70.429s/hit): seed=3724856616419786717 [260, 725, 863, 1563, 2301, 2359, 2379, 3011, 3648, 3901, 4129, 4735, 4823, 4826, 5610, 6106, 6157, 6566, 6603, 6635, 7015, 7078, 7317, 7367, 7863, 7900, 8211, 8924, 9021, 9341, 9498, 9757, 10489, 10690, 11177, 11341, 11532, 12114, 12156, 12312, 12692, 12753, 12890, 13012, 14129, 14908, 14924, 14938, 15091, 15375, 15694, 15841, 16022, 16134, 16328]
Iter#383777 New set #8 of size 55 (47972.1 its/hit = 65.250s/hit): seed=8588148230492013250 [102, 576, 663, 1134, 1276, 1759, 1783, 1864, 2167, 2356, 2397, 2587, 2886, 3079, 3147, 4554, 5270, 5871, 6067, 6375, 6380, 6676, 6713, 7433, 7519, 8117, 8366, 8484, 8691, 8917, 9005, 9092, 9208, 9898, 10030, 10460, 10722, 10819, 11083, 11403, 11670, 11772, 11800, 12028, 12145, 12186, 12541, 12776, 12939, 14038, 14535, 15065, 15474, 15586, 16157]
Iter#565004 New set #9 of size 55 (62778.2 its/hit = 90.111s/hit): seed=11557581875852108305 [282, 408, 490, 1105, 1153, 1197, 1698, 1932, 2067, 2632, 3496, 3627, 4228, 4261, 4683, 5538, 6193, 6274, 6438, 6646, 7098, 7151, 7499, 7571, 7640, 8161, 8176, 8416, 8472, 8589, 9295, 9299, 9833, 9942, 10341, 10507, 10576, 10817, 10941, 11862, 12569, 12575, 12970, 12988, 12994, 13159, 13290, 13798, 14499, 14626, 15345, 15505, 15742, 15974, 16223]
Iter#573185 New set #10 of size 55 (57318.5 its/hit = 82.400s/hit): seed=2457308222369857916 [77, 98, 172, 552, 896, 1254, 1283, 1605, 2021, 3229, 3290, 3397, 3732, 4066, 4369, 4413, 4506, 4661, 4847, 5357, 5376, 5878, 6311, 6478, 6684, 6923, 6960, 7009, 7142, 7282, 7739, 8051, 8360, 8564, 9289, 9573, 9801, 9911, 10028, 10349, 10464, 10973, 11182, 11515, 12276, 12427, 12568, 13442, 13678, 13844, 14514, 14534, 15249, 15936, 15974]
Iter#1122160 New set #20 of size 55 (56108.0 its/hit = 85.550s/hit): seed=1866466089198599767 [650, 752, 1570, 2425, 3986, 4241, 4597, 4880, 5235, 5465, 5626, 5891, 6082, 6171, 6176, 6244, 6336, 6463, 6559, 6821, 7176, 7407, 7474, 7910, 8054, 8151, 8183, 8205, 8242, 8825, 8939, 10071, 10094, 10433, 10486, 10715, 10827, 10913, 11477, 11819, 11888, 12157, 12322, 13016, 13042, 13547, 14060, 14236, 15439, 15655, 15676, 15913, 16103, 16287, 16334]
