[*] Computing DDT
[+] DDT Computed
DDT took 1.404960393s
Iter#1 New set #1 of size 33 (1.0 its/hit = 0.000s/hit): seed=1917209788818663128 [88, 116, 499, 1553, 1637, 2111, 2587, 2625, 2798, 3600, 4009, 4297, 4300, 4606, 4652, 4742, 4749, 4954, 5478, 5678, 6454, 6526, 6820, 6948, 6992, 7077, 7372, 7477, 7489, 7717, 7741, 7772, 7803]
Iter#2 New set #2 of size 33 (1.0 its/hit = 0.000s/hit): seed=9055357886879421137 [79, 126, 280, 873, 939, 1000, 1290, 1349, 1531, 1655, 1784, 2491, 2556, 2681, 2686, 2726, 2793, 3112, 4012, 4067, 4444, 4473, 5148, 5610, 6398, 6839, 6900, 7229, 7233, 7376, 7393, 7653, 7850]
Iter#3 New set #1 of size 35 (3.0 its/hit = 0.000s/hit): seed=15069912800765579945 [423, 456, 475, 485, 816, 1071, 1181, 1235, 1544, 1853, 1921, 2019, 2287, 2438, 2543, 2707, 2966, 3642, 3863, 4316, 4506, 4872, 5451, 5500, 5845, 6161, 6252, 6559, 6859, 6910, 6981, 7004, 7081, 7359, 8079]
Iter#7 New set #1 of size 36 (7.0 its/hit = 0.000s/hit): seed=15352890484282118773 [299, 392, 450, 497, 817, 823, 984, 1156, 1161, 1168, 1186, 1328, 1774, 1776, 2962, 3564, 3636, 3684, 3867, 4087, 4574, 4665, 4910, 5250, 5463, 5626, 5666, 6120, 6166, 6211, 6223, 6732, 6782, 7118, 7813, 7877]
Iter#28 New set #2 of size 36 (14.0 its/hit = 0.000s/hit): seed=4269900806024767934 [303, 382, 856, 881, 1264, 1668, 2208, 2302, 2630, 3127, 3128, 3160, 3585, 3620, 3712, 3781, 3910, 4355, 4412, 4756, 5000, 5030, 5373, 5500, 5645, 5781, 6036, 6095, 6247, 6475, 6546, 6714, 7158, 7330, 7458, 8064]
Iter#35 New set #3 of size 36 (11.7 its/hit = 0.000s/hit): seed=4722641081765278865 [142, 560, 619, 1126, 2114, 2760, 2821, 2948, 2951, 2985, 3065, 3486, 3592, 4085, 4551, 4709, 5160, 5395, 5481, 5578, 5962, 6008, 6285, 6304, 6715, 6756, 6807, 6826, 6832, 6881, 6886, 7082, 7123, 7311, 7475, 7779]
Iter#48 New set #1 of size 37 (48.0 its/hit = 0.000s/hit): seed=14468342059634176662 [397, 1000, 1301, 1313, 1351, 1569, 1576, 1736, 1964, 2172, 2964, 3076, 3086, 3479, 4053, 4115, 4277, 4408, 4409, 5369, 5545, 5697, 5780, 5913, 5949, 5951, 6194, 6718, 6937, 7102, 7152, 7451, 7616, 7637, 7741, 7922, 8104]
Iter#71 New set #1 of size 38 (71.0 its/hit = 0.000s/hit): seed=8958487887501255527 [326, 541, 617, 720, 794, 815, 1425, 1698, 2386, 2575, 2862, 3233, 3303, 3447, 3956, 4018, 4093, 4312, 5099, 5175, 5259, 5343, 5378, 5394, 5500, 5555, 5605, 5887, 6121, 6232, 6316, 6365, 6402, 6680, 6856, 7570, 7594, 7891]
Iter#738 New set #2 of size 38 (369.0 its/hit = 0.000s/hit): seed=16254984048370515503 [140, 198, 550, 896, 1307, 1394, 1481, 1679, 1859, 1876, 1959, 2049, 2150, 2205, 2513, 2571, 3063, 3235, 3717, 3817, 3863, 4037, 4423, 4878, 4889, 4932, 5031, 5495, 5579, 5856, 5920, 6229, 6946, 7597, 7642, 7847, 7858, 8180]
Iter#1118 New set #1 of size 39 (1118.0 its/hit = 0.000s/hit): seed=14368903305393358614 [310, 589, 732, 1010, 1221, 1408, 1624, 1672, 1857, 1908, 2048, 2236, 2699, 2801, 3154, 3193, 3231, 3247, 3581, 3636, 3739, 4174, 4710, 4722, 5049, 5252, 5406, 5465, 5505, 5507, 5576, 5973, 6006, 6121, 6130, 7513, 7887, 8062, 8144]
Iter#4641 New set #2 of size 39 (2320.5 its/hit = 1.500s/hit): seed=11864043397855418617 [16, 150, 443, 451, 585, 779, 1010, 1104, 1410, 2004, 2196, 2666, 2763, 2779, 3144, 3410, 3735, 4285, 4673, 4883, 5328, 5483, 5510, 5580, 5596, 5643, 5785, 5882, 5922, 6580, 6632, 7045, 7324, 7567, 7903, 7943, 7959, 7971, 8180]
Iter#4768 New set #3 of size 39 (1589.3 its/hit = 1.333s/hit): seed=9215296728704449935 [80, 120, 162, 456, 559, 653, 1061, 1136, 1544, 1570, 1744, 2053, 2615, 3102, 3104, 3542, 4131, 4183, 4554, 4587, 5155, 5229, 5615, 5880, 6475, 6607, 6633, 6678, 6736, 7012, 7096, 7110, 7229, 7242, 7380, 7571, 7658, 7669, 7861]
Iter#5481 New set #4 of size 39 (1370.2 its/hit = 1.000s/hit): seed=17636638796496747076 [346, 419, 756, 852, 873, 928, 1418, 1641, 1707, 1747, 1918, 2176, 2655, 2730, 3073, 3212, 3528, 3730, 3830, 4181, 4727, 4801, 4990, 5078, 5381, 5589, 5704, 5844, 6300, 6535, 6537, 6612, 6760, 6990, 7446, 7732, 8026, 8063, 8162]
Iter#9615 New set #5 of size 39 (1923.0 its/hit = 1.600s/hit): seed=16872282416792047950 [105, 262, 371, 651, 769, 1143, 1158, 1574, 1906, 2319, 2380, 2436, 2730, 2966, 2977, 3005, 3013, 3193, 3481, 3528, 3856, 4018, 4186, 4354, 4750, 5340, 5493, 5595, 5930, 6289, 6361, 6378, 6855, 7040, 7116, 7685, 7709, 7856, 8010]
Iter#11409 New set #6 of size 39 (1901.5 its/hit = 1.500s/hit): seed=6189090672369378702 [113, 398, 677, 696, 697, 859, 1234, 1295, 1372, 1416, 1469, 1484, 1654, 1759, 2788, 3100, 4033, 4049, 4189, 4565, 4756, 5660, 5802, 6032, 6066, 6261, 6679, 6758, 6759, 6878, 7139, 7145, 7356, 7527, 7759, 7861, 7995, 8106, 8155]
Iter#18323 New set #7 of size 39 (2617.6 its/hit = 2.143s/hit): seed=15612937617689904297 [686, 964, 1234, 1617, 1642, 1660, 1694, 1771, 1803, 2337, 2397, 2696, 2821, 2959, 2960, 3079, 3094, 3191, 3558, 3571, 3738, 3785, 3910, 3933, 4162, 4252, 5053, 5180, 5307, 5411, 5801, 5985, 6043, 6291, 6453, 6776, 7295, 7786, 8107]
Iter#18524 New set #8 of size 39 (2315.5 its/hit = 1.875s/hit): seed=5958624544625924976 [329, 721, 829, 894, 1074, 1639, 1704, 1773, 1838, 1914, 2263, 2406, 2462, 2570, 2658, 2866, 3003, 3303, 3345, 3529, 3583, 3760, 4089, 4112, 4428, 5108, 5563, 5660, 5885, 6175, 6437, 6453, 6637, 6682, 7270, 7331, 7415, 7553, 8123]
Iter#19471 New set #9 of size 39 (2163.4 its/hit = 1.778s/hit): seed=16689972354436000801 [476, 555, 882, 942, 975, 1191, 1302, 1348, 1589, 2025, 2029, 2618, 2692, 2839, 3010, 3044, 3046, 3087, 3539, 3619, 4158, 4250, 4509, 4827, 5181, 5495, 5921, 6079, 6154, 6320, 6453, 6483, 6686, 6701, 6856, 7278, 7450, 7865, 8078]
Iter#19488 New set #10 of size 39 (1948.8 its/hit = 1.600s/hit): seed=2215662966401593300 [96, 382, 575, 616, 621, 782, 848, 875, 1198, 1422, 1595, 1613, 1731, 1805, 2042, 2561, 2854, 3438, 3723, 3770, 3864, 4085, 4183, 4314, 4544, 4546, 4791, 4844, 5168, 5236, 5454, 5657, 5895, 6680, 6843, 6901, 7109, 7360, 8139]
Iter#34413 New set #20 of size 39 (1720.7 its/hit = 1.450s/hit): seed=9365361922499967971 [21, 51, 101, 438, 909, 1045, 1048, 1273, 1423, 1449, 1550, 1810, 2169, 2726, 3247, 3475, 3840, 3947, 4055, 4122, 4483, 4534, 4662, 5027, 5088, 5362, 6153, 6566, 6667, 7029, 7065, 7145, 7253, 7307, 7521, 7549, 7576, 7974, 8166]
Iter#55166 New set #30 of size 39 (1838.9 its/hit = 1.567s/hit): seed=1554806283570144791 [9, 358, 532, 668, 727, 776, 833, 1262, 1612, 1802, 2172, 2262, 2365, 2402, 2763, 2814, 2913, 2986, 3179, 3398, 3638, 3886, 3985, 4319, 4392, 4553, 4599, 4636, 4894, 5426, 5657, 5883, 5988, 6218, 6259, 7012, 7311, 7686, 7768]
Iter#62966 New set #1 of size 41 (62966.0 its/hit = 54.000s/hit): seed=10957639374933936770 [93, 229, 255, 575, 748, 1688, 1814, 1847, 1876, 2035, 2051, 2177, 2315, 2432, 2608, 2792, 3371, 3408, 3428, 3526, 3554, 4039, 4322, 4376, 4382, 4717, 4965, 4992, 5235, 5270, 5352, 5607, 5899, 6348, 6688, 6708, 6739, 6813, 7284, 7385, 7942]
Iter#347240 New set #2 of size 41 (173620.0 its/hit = 146.000s/hit): seed=3516241337328566002 [92, 97, 183, 214, 252, 533, 764, 778, 846, 880, 1052, 1098, 1217, 1273, 1353, 1521, 1551, 1787, 2054, 2364, 2614, 2935, 3003, 3032, 3277, 4039, 4569, 4977, 5962, 5966, 6198, 6231, 6273, 6368, 6839, 7006, 7074, 7211, 7354, 7952, 7953]
Iter#506916 New set #3 of size 41 (168972.0 its/hit = 143.667s/hit): seed=3161828134757471228 [798, 1141, 1285, 1366, 1416, 1558, 1700, 2115, 2283, 2296, 2455, 2522, 3265, 3443, 3595, 3676, 3817, 4285, 4346, 4506, 4565, 4975, 5611, 5640, 5690, 6001, 6311, 6366, 6442, 6445, 6525, 6570, 6893, 7118, 7142, 7292, 7462, 7554, 7884, 7886, 8073]
Iter#688048 New set #4 of size 41 (172012.0 its/hit = 147.250s/hit): seed=1280857316849279455 [546, 595, 853, 987, 990, 1256, 1666, 1723, 1948, 2022, 2117, 2119, 2352, 2508, 2750, 2832, 2975, 3364, 3959, 4152, 4155, 4171, 4177, 4477, 4526, 4723, 4894, 5619, 5644, 5689, 5779, 6063, 6158, 6185, 6476, 6543, 6655, 7003, 7063, 7950, 7953]
Iter#711335 New set #5 of size 41 (142267.0 its/hit = 122.000s/hit): seed=3285733694345160771 [575, 818, 868, 1154, 1172, 1251, 1256, 1316, 2022, 2059, 2150, 2234, 2588, 2913, 2927, 3209, 3977, 3993, 4077, 4188, 4444, 4592, 4742, 4745, 4812, 4973, 5729, 6181, 6234, 6632, 6775, 6909, 7098, 7297, 7424, 7625, 7734, 7775, 7979, 8028, 8051]
Iter#925126 New set #6 of size 41 (154187.7 its/hit = 132.667s/hit): seed=15377481567707931261 [225, 262, 418, 717, 838, 891, 961, 1039, 1631, 1920, 2012, 2285, 2840, 2860, 3087, 3342, 3501, 4034, 4071, 4588, 4591, 4654, 4762, 4772, 4798, 4870, 5089, 5141, 5639, 6402, 6469, 6547, 6671, 6851, 6954, 7098, 7635, 7851, 7945, 7959, 8149]
Iter#964648 New set #7 of size 41 (137806.9 its/hit = 118.714s/hit): seed=5744711103896825948 [364, 582, 643, 682, 924, 1022, 1208, 1414, 1594, 1908, 2095, 2383, 2813, 2995, 3070, 3099, 3601, 3814, 3963, 4134, 4184, 4595, 4995, 5139, 5237, 5385, 5443, 5781, 5863, 6400, 6444, 6706, 6780, 6926, 7221, 7417, 7462, 7752, 7816, 7866, 8158]
Iter#979899 New set #8 of size 41 (122487.4 its/hit = 105.500s/hit): seed=15051654029065468451 [227, 237, 415, 595, 771, 838, 937, 1093, 1262, 1675, 1747, 1795, 2122, 2475, 2565, 2804, 3397, 3428, 3751, 3805, 3908, 4123, 4148, 4192, 4617, 4978, 5143, 5233, 5279, 5365, 5532, 5943, 6514, 6576, 6988, 7161, 7297, 7517, 7518, 7866, 8108]
Iter#1068472 New set #9 of size 41 (118719.1 its/hit = 102.444s/hit): seed=3556266360978315436 [192, 327, 380, 744, 1051, 1246, 1272, 1371, 1797, 1856, 1939, 2408, 3275, 3510, 3511, 4039, 4149, 4163, 4167, 4753, 5092, 5245, 5316, 5712, 5931, 5932, 5946, 6190, 6528, 6561, 6727, 6796, 6811, 7025, 7143, 7320, 7412, 7572, 7754, 7762, 7958]
Iter#1189424 New set #10 of size 41 (118942.4 its/hit = 102.700s/hit): seed=5634592083191751487 [88, 225, 262, 270, 322, 460, 739, 770, 1117, 1668, 1726, 2500, 2555, 2720, 2764, 2837, 2840, 2924, 3395, 3425, 3494, 3741, 3909, 4077, 4081, 4221, 4237, 4417, 4418, 4692, 4835, 5044, 5375, 5390, 5663, 6625, 6701, 7137, 7934, 8169, 8187]
Iter#1868600 New set #20 of size 41 (93430.0 its/hit = 81.050s/hit): seed=9695705507369317626 [159, 256, 747, 858, 1341, 1610, 1644, 1744, 1914, 2120, 2261, 2502, 3190, 3741, 3890, 4047, 4132, 4274, 4401, 4494, 4567, 4880, 4927, 5122, 5189, 5295, 5373, 5541, 5654, 5941, 6283, 6752, 6808, 7011, 7031, 7117, 7181, 7241, 7331, 7621, 7922]
Iter#2596020 New set #30 of size 41 (86534.0 its/hit = 75.200s/hit): seed=2149315420054192723 [90, 142, 154, 283, 707, 779, 835, 1055, 1138, 1157, 1610, 1732, 2139, 2241, 2528, 2538, 3096, 3140, 3290, 3294, 3332, 3730, 3765, 3781, 3784, 3813, 4356, 4693, 4827, 4865, 4937, 5151, 5265, 5437, 5926, 6012, 6580, 6638, 6725, 7562, 7578]
Iter#3400966 New set #40 of size 41 (85024.1 its/hit = 73.975s/hit): seed=10376917056118393925 [83, 234, 283, 445, 497, 526, 1222, 1539, 1615, 1678, 2155, 2521, 2762, 2837, 3096, 3244, 3418, 3714, 3813, 3984, 4261, 4480, 4591, 4678, 5206, 5233, 5320, 5451, 5563, 5606, 5613, 5788, 6701, 7331, 7777, 7802, 7824, 7984, 8033, 8075, 8105]
Iter#4024954 New set #50 of size 41 (80499.1 its/hit = 70.060s/hit): seed=14481709635662746646 [46, 699, 953, 1067, 1327, 1697, 1803, 1923, 2084, 2293, 2958, 3305, 3427, 3450, 3459, 3575, 3668, 4005, 4029, 4231, 4289, 4624, 4956, 5144, 5251, 5618, 5619, 5728, 6007, 6196, 6354, 6551, 6969, 7072, 7119, 7417, 7541, 7829, 7872, 7944, 7959]
Iter#4890298 New set #60 of size 41 (81505.0 its/hit = 70.783s/hit): seed=16103618150209447602 [213, 366, 439, 548, 583, 741, 1043, 1176, 1238, 1632, 1866, 1870, 2111, 2392, 2450, 2570, 2783, 2978, 3602, 4115, 4254, 4272, 4742, 5329, 5390, 5595, 5872, 5908, 5955, 6100, 6223, 6341, 6598, 6770, 7008, 7009, 7625, 7820, 7940, 7993, 8145]
Iter#6013867 New set #70 of size 41 (85912.4 its/hit = 74.486s/hit): seed=15528331145981444923 [316, 810, 896, 953, 1039, 1040, 1161, 1261, 1269, 1424, 1550, 1572, 1598, 1905, 2544, 2646, 2648, 3037, 3102, 3611, 3879, 4007, 4112, 4243, 4514, 4906, 5011, 5044, 5320, 5504, 5561, 5730, 5982, 6265, 6294, 6469, 6785, 7309, 7417, 7851, 7988]
Iter#6637748 New set #80 of size 41 (82971.9 its/hit = 71.887s/hit): seed=3763894117931316216 [46, 49, 148, 189, 644, 648, 891, 951, 1000, 1966, 2181, 2341, 2684, 2864, 3017, 3070, 3092, 3351, 3403, 3569, 3574, 3595, 3666, 3679, 3902, 4476, 4531, 5185, 5225, 5484, 5585, 5933, 5946, 6183, 6298, 6337, 7317, 7330, 7364, 7807, 8127]
Iter#7337460 New set #90 of size 41 (81527.3 its/hit = 70.600s/hit): seed=2249265050981625050 [29, 219, 390, 482, 694, 921, 1002, 1201, 1404, 1532, 1564, 1611, 1622, 2538, 2645, 2879, 3074, 3285, 3322, 3367, 3403, 3701, 3850, 3982, 4467, 4545, 4639, 5806, 6432, 6636, 6786, 6815, 6887, 7102, 7105, 7369, 7380, 7468, 7569, 8104, 8145]
Iter#8149242 New set #100 of size 41 (81492.4 its/hit = 70.540s/hit): seed=10638104337151334007 [98, 237, 357, 520, 594, 633, 660, 1018, 1070, 1083, 1339, 2054, 2295, 2581, 2674, 2729, 2787, 2815, 2893, 3217, 3230, 3316, 3454, 3475, 3847, 4074, 4121, 4402, 5218, 5265, 5539, 5785, 6262, 6274, 6370, 6604, 7270, 7293, 7473, 7790, 7850]
