[*] Computing DDT
[+] DDT Computed
DDT took 323.087835ms
Iter#1 New set #1 of size 29 (1.0 its/hit = 0.000s/hit): seed=17529418130348545868 [29, 82, 206, 279, 344, 368, 446, 610, 732, 738, 786, 883, 920, 1405, 2035, 2100, 2149, 2395, 2489, 2516, 2974, 3042, 3598, 3612, 3631, 3696, 3750, 3828, 4016]
Iter#2 New set #2 of size 29 (1.0 its/hit = 0.000s/hit): seed=17120036716563330346 [89, 91, 156, 160, 335, 866, 1026, 1086, 1149, 1212, 1339, 1405, 1506, 1575, 1610, 1629, 2000, 2153, 2166, 2469, 2568, 2634, 2773, 3036, 3286, 3369, 3603, 3759, 4016]
Iter#7 New set #3 of size 29 (2.3 its/hit = 0.000s/hit): seed=12793231746167154357 [158, 275, 397, 656, 662, 694, 739, 837, 1137, 1199, 1465, 1528, 1668, 1854, 2014, 2055, 2129, 2195, 2254, 2320, 2639, 2799, 3055, 3173, 3229, 3384, 3466, 3468, 3891]
Iter#8 New set #4 of size 29 (2.0 its/hit = 0.000s/hit): seed=2096517093304682934 [32, 80, 370, 388, 607, 791, 987, 1033, 1126, 1151, 1204, 1325, 1384, 1484, 1577, 1803, 1885, 2195, 2355, 2373, 2478, 2499, 2816, 3055, 3338, 3344, 3551, 3678, 3880]
Iter#10 New set #5 of size 29 (2.0 its/hit = 0.000s/hit): seed=17657438184093507308 [426, 736, 766, 965, 1488, 1529, 1702, 1723, 1757, 1803, 1837, 1923, 2154, 2329, 2503, 2791, 3014, 3077, 3146, 3153, 3247, 3271, 3343, 3378, 3392, 3509, 3703, 3937, 4088]
Iter#11 New set #1 of size 34 (11.0 its/hit = 0.000s/hit): seed=18328475720775805813 [113, 307, 449, 492, 493, 504, 620, 720, 925, 1277, 1318, 1538, 1891, 1913, 2114, 2192, 2361, 2432, 2526, 2558, 2597, 2679, 2796, 2899, 2997, 3072, 3119, 3282, 3335, 3411, 3475, 3801, 3848, 3936]
Iter#40 New set #2 of size 34 (20.0 its/hit = 0.000s/hit): seed=2515876537163482486 [261, 290, 362, 722, 806, 855, 931, 1268, 1502, 1526, 1531, 1566, 1675, 1767, 2082, 2092, 2158, 2182, 2205, 2563, 2660, 2776, 2821, 2939, 2992, 2995, 3066, 3107, 3125, 3154, 3164, 3812, 3893, 3986]
Iter#45 New set #3 of size 34 (15.0 its/hit = 0.000s/hit): seed=8479063750292738514 [59, 264, 371, 503, 716, 807, 847, 900, 901, 1030, 1355, 1470, 1476, 1848, 1869, 1890, 1914, 1969, 2065, 2226, 2287, 2778, 2812, 2822, 2870, 3078, 3388, 3416, 3610, 3722, 3750, 3751, 3759, 4095]
Iter#52 New set #1 of size 40 (52.0 its/hit = 0.000s/hit): seed=7727071750448983166 [211, 215, 243, 285, 389, 559, 569, 927, 952, 1013, 1124, 1161, 1346, 1384, 1396, 1419, 1420, 1725, 1867, 2025, 2163, 2232, 2299, 2327, 2328, 2440, 2442, 2570, 2768, 2892, 3088, 3093, 3142, 3189, 3213, 3245, 3415, 3436, 3531, 3661]
Iter#389 New set #2 of size 40 (194.5 its/hit = 0.000s/hit): seed=18419948782663686189 [164, 248, 397, 440, 647, 939, 1092, 1169, 1216, 1276, 1277, 1299, 1571, 1657, 1678, 1686, 2097, 2099, 2184, 2259, 2294, 2336, 2407, 2550, 2588, 2631, 3509, 3525, 3664, 3669, 3674, 3742, 3758, 3792, 3795, 3819, 3838, 3859, 3876, 3963]
Iter#846 New set #3 of size 40 (282.0 its/hit = 0.000s/hit): seed=10529748105932673025 [17, 60, 479, 492, 509, 659, 671, 713, 736, 875, 906, 997, 1079, 1466, 1478, 1701, 1809, 1861, 1977, 1985, 2166, 2194, 2252, 2264, 2441, 2463, 2514, 2583, 2648, 2825, 2885, 3061, 3108, 3370, 3469, 3521, 3550, 3585, 3891, 3948]
Iter#959 New set #4 of size 40 (239.8 its/hit = 0.000s/hit): seed=12398166429410615173 [25, 27, 106, 183, 267, 329, 384, 683, 722, 965, 1026, 1035, 1187, 1209, 1326, 1467, 1491, 1992, 2015, 2019, 2070, 2162, 2219, 2478, 2506, 2569, 2641, 2664, 2704, 2730, 3144, 3165, 3270, 3392, 3440, 3598, 3663, 3810, 3901, 4060]
Iter#1310 New set #5 of size 40 (262.0 its/hit = 0.000s/hit): seed=5701755591115829486 [126, 180, 301, 305, 354, 405, 546, 577, 643, 683, 848, 855, 905, 920, 981, 998, 1120, 1212, 1593, 1773, 1794, 1820, 1840, 1897, 2180, 2262, 2343, 2503, 2621, 2624, 2687, 2710, 2920, 2936, 2950, 3071, 3075, 3140, 3153, 3161]
Iter#3092 New set #6 of size 40 (515.3 its/hit = 0.000s/hit): seed=5591549098205108762 [21, 98, 137, 232, 548, 758, 793, 872, 891, 897, 1049, 1162, 1439, 1511, 1600, 1671, 1743, 1750, 1830, 1884, 2160, 2182, 2338, 2356, 2434, 2535, 2561, 2612, 2651, 2671, 2735, 2779, 2927, 3024, 3235, 3291, 3588, 3702, 4002, 4071]
Iter#4212 New set #7 of size 40 (601.7 its/hit = 0.143s/hit): seed=3909495578013104978 [56, 156, 181, 268, 334, 336, 423, 507, 535, 559, 629, 769, 775, 776, 799, 844, 1026, 1318, 1374, 1496, 1751, 1798, 1819, 1831, 2143, 2232, 2250, 2529, 2612, 2724, 2726, 2997, 3075, 3287, 3297, 3332, 3650, 3668, 3761, 4057]
Iter#5175 New set #8 of size 40 (646.9 its/hit = 0.125s/hit): seed=9416368172242144455 [17, 135, 154, 247, 501, 645, 716, 746, 947, 949, 1050, 1147, 1160, 1319, 1349, 1358, 1368, 1440, 1512, 1918, 2337, 2426, 2430, 2459, 2466, 2473, 2537, 2563, 2734, 2814, 2822, 2947, 3008, 3041, 3118, 3417, 3568, 3629, 3809, 4064]
Iter#5401 New set #9 of size 40 (600.1 its/hit = 0.111s/hit): seed=4421446832835402686 [127, 136, 170, 190, 202, 442, 582, 585, 595, 724, 940, 957, 1701, 1819, 1871, 2043, 2097, 2219, 2336, 2509, 2643, 2836, 2843, 2849, 3139, 3220, 3229, 3310, 3323, 3419, 3436, 3512, 3524, 3568, 3603, 3713, 3902, 3912, 3938, 3944]
Iter#5416 New set #10 of size 40 (541.6 its/hit = 0.100s/hit): seed=3774029163724319757 [17, 59, 358, 507, 563, 684, 811, 840, 914, 918, 1063, 1094, 1350, 1389, 1672, 1677, 1694, 1734, 1875, 1919, 1963, 2009, 2017, 2023, 2147, 2298, 2341, 2398, 2416, 2486, 2642, 2679, 2721, 2799, 3174, 3263, 3665, 3827, 4055, 4067]
Iter#12728 New set #1 of size 43 (12728.0 its/hit = 3.000s/hit): seed=10068311535388935743 [105, 168, 288, 432, 661, 941, 1348, 1368, 1430, 1433, 1447, 1626, 1731, 1766, 1872, 1935, 2027, 2126, 2142, 2354, 2356, 2550, 2554, 2636, 2656, 2700, 2713, 2753, 2885, 3221, 3254, 3340, 3366, 3433, 3492, 3512, 3547, 3636, 3648, 3686, 3691, 3737, 3886]
Iter#16665 New set #2 of size 43 (8332.5 its/hit = 2.000s/hit): seed=1343841595063099364 [74, 196, 213, 332, 410, 523, 577, 682, 730, 737, 794, 907, 926, 957, 962, 968, 1217, 1349, 1468, 1610, 1646, 1731, 1780, 1838, 1925, 2031, 2052, 2148, 2311, 2396, 2451, 2563, 2626, 2694, 2946, 3295, 3326, 3388, 3584, 3769, 3890, 4029, 4037]
Iter#17087 New set #3 of size 43 (5695.7 its/hit = 1.333s/hit): seed=14621408456978159509 [96, 192, 224, 304, 566, 568, 625, 680, 683, 722, 791, 819, 847, 911, 988, 1041, 1187, 1217, 1305, 1461, 1500, 1574, 1701, 1749, 1760, 1826, 1832, 1855, 2025, 2135, 2466, 2602, 2681, 2747, 2750, 2833, 2952, 3141, 3182, 3261, 3344, 3618, 3789]
Iter#24059 New set #4 of size 43 (6014.8 its/hit = 1.500s/hit): seed=5341473619184880149 [209, 282, 465, 610, 663, 838, 1000, 1002, 1086, 1169, 1172, 1216, 1226, 1243, 1371, 1423, 1441, 1536, 1626, 1659, 1942, 2013, 2059, 2484, 2551, 2564, 2592, 2908, 2940, 3047, 3165, 3199, 3234, 3292, 3317, 3323, 3521, 3730, 3788, 3927, 3988, 3992, 4015]
Iter#26221 New set #5 of size 43 (5244.2 its/hit = 1.200s/hit): seed=1247784267050437656 [26, 206, 210, 284, 285, 380, 400, 499, 500, 608, 699, 709, 726, 869, 940, 1125, 1250, 1263, 1331, 1759, 1768, 1803, 1945, 1947, 2007, 2013, 2121, 2364, 2377, 2405, 2545, 2617, 2779, 2805, 2996, 3022, 3068, 3380, 3382, 3583, 3740, 3793, 3901]
Iter#35251 New set #1 of size 46 (35251.0 its/hit = 9.000s/hit): seed=14397260008183669432 [0, 86, 131, 184, 319, 504, 513, 559, 648, 713, 732, 1092, 1516, 1522, 1648, 1662, 1689, 1934, 1955, 1981, 1989, 2044, 2219, 2283, 2388, 2408, 2520, 2564, 2626, 2673, 2674, 2880, 2972, 3125, 3146, 3225, 3243, 3285, 3352, 3386, 3535, 3689, 3713, 3800, 3833, 4092]
Iter#66886 New set #2 of size 46 (33443.0 its/hit = 8.500s/hit): seed=14246656820302359062 [13, 137, 182, 197, 311, 321, 358, 364, 525, 539, 582, 717, 737, 764, 899, 992, 1116, 1219, 1456, 1495, 1570, 1971, 1992, 2037, 2076, 2254, 2367, 2440, 2451, 2552, 2695, 2711, 2792, 2975, 3244, 3300, 3417, 3427, 3525, 3530, 3657, 3700, 3855, 3912, 4005, 4087]
Iter#101869 New set #3 of size 46 (33956.3 its/hit = 8.667s/hit): seed=6019608952446738990 [102, 199, 254, 565, 607, 835, 945, 983, 1019, 1119, 1196, 1322, 1477, 1478, 1593, 1597, 1788, 1843, 1920, 1989, 1999, 2024, 2134, 2178, 2191, 2355, 2386, 2397, 2630, 2709, 2758, 2779, 2809, 2930, 2943, 2947, 2957, 3224, 3311, 3702, 3747, 3770, 3807, 3959, 3996, 4071]
Iter#135861 New set #4 of size 46 (33965.2 its/hit = 8.750s/hit): seed=3713406506757598692 [14, 75, 107, 191, 222, 263, 479, 525, 548, 668, 702, 751, 819, 966, 1022, 1060, 1244, 1249, 1330, 1334, 1392, 1455, 1738, 1891, 1941, 1968, 1982, 2009, 2209, 2239, 2247, 2391, 2520, 2551, 2585, 2747, 2845, 2960, 2973, 3131, 3167, 3348, 3494, 3623, 3844, 4023]
Iter#146504 New set #5 of size 46 (29300.8 its/hit = 7.400s/hit): seed=13844696141355948284 [49, 170, 183, 199, 377, 558, 611, 729, 789, 797, 946, 953, 1387, 1523, 1621, 1790, 1791, 1957, 2054, 2152, 2267, 2579, 2604, 2649, 2667, 2693, 2706, 2743, 2771, 2831, 2923, 2986, 3252, 3267, 3519, 3541, 3589, 3612, 3678, 3707, 3728, 3788, 3839, 4066, 4083, 4090]
Iter#158898 New set #6 of size 46 (26483.0 its/hit = 6.833s/hit): seed=4552757971859248355 [269, 325, 330, 444, 486, 566, 632, 792, 884, 1015, 1194, 1341, 1434, 1538, 1600, 1717, 1946, 1959, 1982, 2036, 2107, 2219, 2332, 2348, 2601, 2711, 2892, 2935, 2980, 3068, 3121, 3183, 3347, 3381, 3586, 3595, 3615, 3665, 3701, 3703, 3719, 3777, 3937, 3952, 4006, 4017]
Iter#165615 New set #7 of size 46 (23659.3 its/hit = 6.000s/hit): seed=12732992676967983589 [45, 90, 202, 209, 274, 289, 379, 445, 493, 497, 504, 555, 772, 853, 1066, 1083, 1273, 1415, 1449, 1467, 1477, 1606, 1668, 1673, 1756, 1995, 2097, 2353, 2441, 2535, 2571, 2832, 2862, 2907, 2936, 3005, 3251, 3385, 3396, 3402, 3421, 3481, 3705, 3833, 3835, 3869]
Iter#170920 New set #8 of size 46 (21365.0 its/hit = 5.500s/hit): seed=5691157153735022875 [124, 194, 246, 340, 407, 481, 817, 893, 1081, 1119, 1228, 1358, 1569, 1633, 1723, 1833, 1859, 1963, 2153, 2155, 2192, 2197, 2286, 2392, 2453, 2648, 2669, 2698, 2716, 2735, 2774, 2836, 3096, 3110, 3204, 3276, 3328, 3595, 3610, 3645, 3761, 3766, 3784, 3888, 4057, 4078]
Iter#178965 New set #9 of size 46 (19885.0 its/hit = 5.111s/hit): seed=1473652330836983214 [1, 89, 180, 350, 432, 606, 813, 933, 965, 1132, 1157, 1263, 1447, 1597, 1866, 1964, 1971, 1996, 2053, 2054, 2067, 2103, 2116, 2133, 2154, 2197, 2473, 2537, 2551, 2630, 2633, 2690, 2829, 3131, 3158, 3211, 3255, 3272, 3351, 3390, 3458, 3645, 3705, 3745, 3749, 3992]
Iter#189345 New set #10 of size 46 (18934.5 its/hit = 4.800s/hit): seed=8391731832490979099 [236, 279, 346, 348, 441, 488, 588, 589, 653, 725, 880, 1015, 1048, 1276, 1353, 1537, 1719, 1759, 1883, 1911, 2190, 2318, 2418, 2469, 2484, 2524, 2586, 2643, 2680, 2881, 3114, 3210, 3274, 3281, 3404, 3410, 3459, 3486, 3515, 3522, 3529, 3655, 3664, 3913, 3916, 4047]
Iter#398577 New set #20 of size 46 (19928.8 its/hit = 5.150s/hit): seed=14981150409283519058 [129, 250, 347, 582, 688, 817, 846, 852, 1001, 1032, 1051, 1055, 1304, 1355, 1399, 1411, 1446, 1847, 1959, 2046, 2229, 2279, 2318, 2484, 2575, 2610, 2730, 2946, 3005, 3102, 3128, 3448, 3465, 3514, 3592, 3609, 3640, 3662, 3670, 3694, 3805, 3815, 3850, 3859, 3932, 3962]
Iter#510801 New set #30 of size 46 (17026.7 its/hit = 4.533s/hit): seed=14566938791486155841 [1, 36, 216, 240, 242, 320, 329, 376, 460, 518, 664, 703, 728, 753, 968, 972, 1125, 1149, 1161, 1262, 1264, 1373, 1389, 1752, 2063, 2080, 2117, 2203, 2247, 2286, 2409, 2489, 2703, 2767, 2974, 2992, 3191, 3325, 3456, 3542, 3644, 3662, 3677, 3741, 3933, 3964]
Iter#603071 New set #40 of size 46 (15076.8 its/hit = 4.100s/hit): seed=17567088135090444292 [139, 147, 168, 199, 202, 328, 470, 668, 677, 693, 723, 765, 889, 938, 1023, 1025, 1090, 1201, 1255, 1302, 1317, 1607, 1665, 1765, 1827, 1920, 2065, 2266, 2281, 2389, 2520, 2604, 2725, 2773, 2821, 2846, 3039, 3108, 3187, 3226, 3311, 3362, 3579, 3620, 3890, 4049]
Iter#728359 New set #50 of size 46 (14567.2 its/hit = 4.020s/hit): seed=8745711824684419239 [137, 151, 271, 320, 440, 466, 578, 697, 785, 863, 887, 942, 959, 1170, 1225, 1628, 1666, 1746, 1787, 2018, 2114, 2128, 2164, 2214, 2310, 2414, 2499, 2545, 2602, 2913, 2930, 2959, 3018, 3061, 3066, 3103, 3265, 3266, 3310, 3520, 3528, 3667, 3727, 3795, 3901, 3975]
Iter#837318 New set #60 of size 46 (13955.3 its/hit = 3.867s/hit): seed=8167578777002144029 [92, 198, 328, 387, 596, 618, 764, 765, 804, 862, 974, 1387, 1460, 1545, 1562, 1768, 1852, 1882, 1899, 1983, 1993, 2022, 2025, 2046, 2176, 2275, 2313, 2314, 2435, 2468, 2716, 2736, 2756, 2797, 2976, 3343, 3349, 3418, 3465, 3598, 3783, 3785, 3854, 3942, 3975, 4016]
Iter#1015061 New set #70 of size 46 (14500.9 its/hit = 3.986s/hit): seed=12245999165301379524 [12, 22, 98, 122, 133, 221, 269, 281, 391, 412, 440, 674, 688, 758, 774, 904, 1201, 1227, 1230, 1336, 1430, 1452, 1466, 1619, 1642, 1717, 1774, 1783, 2124, 2232, 2470, 2516, 2517, 2613, 2655, 2884, 2911, 3003, 3130, 3368, 3519, 3528, 3566, 3745, 3754, 3847]
Iter#1149142 New set #80 of size 46 (14364.3 its/hit = 3.925s/hit): seed=4749309616573331303 [130, 173, 345, 354, 416, 745, 786, 886, 981, 1104, 1174, 1250, 1297, 1321, 1678, 1729, 1758, 1924, 1995, 2045, 2051, 2161, 2175, 2369, 2379, 2402, 2476, 2483, 2501, 2527, 2596, 2738, 2876, 2962, 2969, 3077, 3165, 3175, 3176, 3228, 3536, 3597, 3622, 3810, 3879, 4071]
Iter#1314187 New set #90 of size 46 (14602.1 its/hit = 3.967s/hit): seed=1014214104084533696 [27, 132, 224, 254, 379, 487, 566, 577, 705, 726, 766, 876, 1072, 1158, 1231, 1403, 1404, 1465, 1495, 1621, 1647, 1768, 1844, 2002, 2147, 2202, 2227, 2266, 2287, 2294, 2295, 2368, 2402, 2671, 2691, 2699, 2881, 2964, 2975, 2992, 3116, 3235, 3609, 3854, 3939, 4081]
Iter#1508369 New set #100 of size 46 (15083.7 its/hit = 4.080s/hit): seed=15639812423570387513 [123, 153, 155, 367, 375, 403, 512, 589, 635, 637, 673, 816, 875, 879, 1281, 1284, 1312, 1482, 1538, 1591, 1727, 1835, 1886, 1957, 1987, 1998, 2545, 2868, 2958, 2978, 3106, 3130, 3187, 3226, 3229, 3300, 3363, 3396, 3436, 3493, 3551, 3786, 3923, 3937, 4021, 4041]
