[*] Computing DDT
[+] DDT Computed
DDT took 47.032µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=8915397446442283939 [4, 5, 6, 7, 9, 12, 15]
Iter#4 New set #1 of size 8 (4.0 its/hit = 0.000s/hit): seed=3247303477128415084 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#8 New set #2 of size 8 (4.0 its/hit = 0.000s/hit): seed=9052182076990291720 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#10 New set #3 of size 8 (3.3 its/hit = 0.000s/hit): seed=12624175204899049094 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#12 New set #4 of size 8 (3.0 its/hit = 0.000s/hit): seed=5221485790532895306 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#13 New set #5 of size 8 (2.6 its/hit = 0.000s/hit): seed=1999108882090902205 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#16 New set #6 of size 8 (2.7 its/hit = 0.000s/hit): seed=15274342168668639373 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#18 New set #7 of size 8 (2.6 its/hit = 0.000s/hit): seed=8647986493189000256 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#19 New set #8 of size 8 (2.4 its/hit = 0.000s/hit): seed=8112646529465886942 [0, 5, 6, 10, 12, 13, 14, 15]
Iter#21 New set #9 of size 8 (2.3 its/hit = 0.000s/hit): seed=13045197314455747497 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#24 New set #10 of size 8 (2.4 its/hit = 0.000s/hit): seed=1805909567976044978 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#47 New set #20 of size 8 (2.3 its/hit = 0.000s/hit): seed=5467816860289964875 [0, 5, 6, 10, 12, 13, 14, 15]
Iter#68 New set #30 of size 8 (2.3 its/hit = 0.000s/hit): seed=6235467059226507290 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#90 New set #40 of size 8 (2.2 its/hit = 0.000s/hit): seed=5926251302409736981 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#110 New set #50 of size 8 (2.2 its/hit = 0.000s/hit): seed=15284934420351995672 [0, 5, 6, 10, 12, 13, 14, 15]
Iter#131 New set #60 of size 8 (2.2 its/hit = 0.000s/hit): seed=11293772285761544971 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#161 New set #70 of size 8 (2.3 its/hit = 0.000s/hit): seed=9373559075314064093 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#182 New set #80 of size 8 (2.3 its/hit = 0.000s/hit): seed=17390524931645991344 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#203 New set #90 of size 8 (2.3 its/hit = 0.000s/hit): seed=15236471212616140062 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#228 New set #100 of size 8 (2.3 its/hit = 0.000s/hit): seed=8055762382971617940 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#476 New set #200 of size 8 (2.4 its/hit = 0.000s/hit): seed=11887508919944211215 [0, 5, 6, 10, 12, 13, 14, 15]
Iter#718 New set #300 of size 8 (2.4 its/hit = 0.000s/hit): seed=5464720805419495105 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#965 New set #400 of size 8 (2.4 its/hit = 0.000s/hit): seed=15299904194221567694 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#1222 New set #500 of size 8 (2.4 its/hit = 0.000s/hit): seed=4979586459941177726 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#1452 New set #600 of size 8 (2.4 its/hit = 0.000s/hit): seed=9520523520731196260 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#1647 New set #700 of size 8 (2.4 its/hit = 0.000s/hit): seed=3338938273008109754 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#1887 New set #800 of size 8 (2.4 its/hit = 0.000s/hit): seed=7336337685565739142 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#2145 New set #900 of size 8 (2.4 its/hit = 0.000s/hit): seed=4535034409861726009 [0, 5, 6, 10, 12, 13, 14, 15]
Iter#2408 New set #1000 of size 8 (2.4 its/hit = 0.000s/hit): seed=14322689276869165150 [0, 4, 5, 6, 7, 10, 12, 15]
Iter#4720 New set #2000 of size 8 (2.4 its/hit = 0.000s/hit): seed=2761479980140433043 [1, 4, 7, 8, 12, 13, 14, 15]
Iter#6990 New set #3000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10589398402065052550 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#9257 New set #4000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4349644589968152250 [1, 4, 5, 6, 7, 8, 13, 14]
Iter#11489 New set #5000 of size 8 (2.3 its/hit = 0.000s/hit): seed=1734911087606638761 [0, 4, 5, 6, 7, 10, 12, 15]
