[*] Computing DDT
[+] DDT Computed
DDT took 55.062µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14192604979220724716 [0, 4, 5, 6, 8, 12]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=15967945146379487711 [0, 1, 3, 5, 7, 11, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=3163153562445376304 [1, 3, 5, 6, 7, 10, 13]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=8587194689717352250 [0, 1, 3, 5, 7, 11, 14]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=2419309510957259042 [1, 2, 3, 6, 10, 12, 13]
Iter#10 New set #5 of size 7 (2.0 its/hit = 0.000s/hit): seed=2890889623374192681 [1, 6, 8, 9, 10, 11, 13]
Iter#11 New set #6 of size 7 (1.8 its/hit = 0.000s/hit): seed=15999368666405892373 [0, 1, 3, 5, 7, 11, 14]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=16314358017517198405 [0, 4, 5, 8, 11, 12, 14]
Iter#14 New set #8 of size 7 (1.8 its/hit = 0.000s/hit): seed=3456466166822832170 [1, 3, 5, 6, 7, 10, 13]
Iter#15 New set #9 of size 7 (1.7 its/hit = 0.000s/hit): seed=16460848408972140622 [0, 1, 3, 5, 7, 11, 14]
Iter#17 New set #10 of size 7 (1.7 its/hit = 0.000s/hit): seed=11565365628544519932 [0, 5, 8, 9, 10, 11, 14]
Iter#55 New set #20 of size 7 (2.8 its/hit = 0.000s/hit): seed=7891172258180072280 [0, 2, 3, 4, 8, 12, 13]
Iter#81 New set #30 of size 7 (2.7 its/hit = 0.000s/hit): seed=6464084926440519676 [0, 4, 5, 8, 11, 12, 14]
Iter#107 New set #40 of size 7 (2.7 its/hit = 0.000s/hit): seed=15126712560679295702 [0, 1, 3, 5, 7, 11, 14]
Iter#124 New set #50 of size 7 (2.5 its/hit = 0.000s/hit): seed=17876092254314458329 [0, 4, 8, 9, 10, 11, 12]
Iter#143 New set #60 of size 7 (2.4 its/hit = 0.000s/hit): seed=6927897809337307043 [1, 2, 3, 5, 7, 12, 13]
Iter#164 New set #70 of size 7 (2.3 its/hit = 0.000s/hit): seed=13072963089883367626 [1, 2, 3, 6, 10, 12, 13]
Iter#200 New set #80 of size 7 (2.5 its/hit = 0.000s/hit): seed=15239102119922850825 [1, 2, 3, 5, 7, 12, 13]
Iter#227 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=16448618557875636287 [0, 2, 3, 4, 8, 12, 13]
Iter#249 New set #100 of size 7 (2.5 its/hit = 0.000s/hit): seed=9974357082944927628 [0, 1, 3, 5, 7, 11, 14]
Iter#480 New set #200 of size 7 (2.4 its/hit = 0.000s/hit): seed=15385393811938003251 [0, 4, 8, 9, 10, 11, 12]
Iter#735 New set #300 of size 7 (2.5 its/hit = 0.000s/hit): seed=18061119515555223804 [1, 2, 3, 5, 7, 12, 13]
Iter#990 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=13419562903230699066 [1, 6, 8, 9, 10, 11, 13]
Iter#1231 New set #500 of size 7 (2.5 its/hit = 0.000s/hit): seed=15172634847642178648 [1, 6, 8, 9, 10, 11, 13]
Iter#1473 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=14424479951261771258 [0, 2, 3, 4, 8, 12, 13]
Iter#1716 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=901120229218546886 [1, 3, 5, 6, 7, 10, 13]
Iter#1949 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=15961164514947197689 [1, 3, 5, 6, 7, 10, 13]
Iter#2177 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=6235198980146110100 [0, 2, 3, 4, 8, 12, 13]
Iter#2417 New set #1000 of size 7 (2.4 its/hit = 0.000s/hit): seed=8706794748983237568 [0, 2, 3, 4, 8, 12, 13]
Iter#4904 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11037075333783282760 [0, 1, 3, 5, 7, 11, 14]
Iter#7335 New set #3000 of size 7 (2.4 its/hit = 0.000s/hit): seed=6783143093657630440 [1, 2, 3, 6, 10, 12, 13]
Iter#9877 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12718761206269814480 [1, 2, 3, 5, 7, 12, 13]
Iter#12273 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12379808216170565798 [0, 4, 5, 8, 11, 12, 14]
Iter#14840 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9356256884237306763 [1, 6, 8, 9, 10, 11, 13]
Iter#17266 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10025272875402156998 [1, 6, 8, 9, 10, 11, 13]
Iter#19640 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1657589090368637761 [1, 2, 3, 5, 7, 12, 13]
Iter#22271 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7678914376405872641 [1, 6, 8, 9, 10, 11, 13]
Iter#24759 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4751294820075912848 [0, 1, 3, 5, 7, 11, 14]
Iter#49583 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1103987689778225293 [1, 6, 8, 9, 10, 11, 13]
Iter#74545 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10908002858111493212 [0, 4, 8, 9, 10, 11, 12]
Iter#99699 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7689892022009373488 [1, 6, 8, 9, 10, 11, 13]
Iter#124614 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7405469295359728319 [1, 3, 5, 6, 7, 10, 13]
Iter#149568 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10141205593371719815 [1, 3, 5, 6, 7, 10, 13]
Iter#174563 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11293161310353102011 [1, 2, 3, 5, 7, 12, 13]
Iter#199420 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14512630921723175775 [0, 4, 5, 8, 11, 12, 14]
Iter#224495 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4312858490064641940 [0, 4, 8, 9, 10, 11, 12]
Iter#249275 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16704527781243357943 [0, 4, 8, 9, 10, 11, 12]
Iter#498617 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12680790107747470918 [0, 2, 3, 4, 8, 12, 13]
Iter#747319 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14544881635371092803 [0, 5, 8, 9, 10, 11, 14]
Iter#995901 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16408034755251019238 [1, 2, 3, 6, 10, 12, 13]
Iter#1244101 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6299019111222780626 [0, 5, 8, 9, 10, 11, 14]
Iter#1494209 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8834942515168419128 [1, 2, 3, 6, 10, 12, 13]
Iter#1743037 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18091314218572400903 [1, 2, 3, 5, 7, 12, 13]
