[*] Computing DDT
[+] DDT Computed
DDT took 41.842µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=10420809193079835544 [0, 1, 3, 4, 6, 12]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=8334426345050639780 [4, 5, 10, 12, 14, 15]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=3822998460337578749 [4, 5, 6, 10, 14, 15]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=13522567699673683845 [2, 4, 7, 9, 12, 14]
Iter#5 New set #5 of size 6 (1.0 its/hit = 0.000s/hit): seed=4399618681187542492 [2, 3, 8, 10, 13, 14]
Iter#6 New set #6 of size 6 (1.0 its/hit = 0.000s/hit): seed=8260706074421014898 [0, 2, 3, 4, 11, 14]
Iter#8 New set #7 of size 6 (1.1 its/hit = 0.000s/hit): seed=13461496591853860007 [1, 3, 4, 6, 10, 12]
Iter#9 New set #1 of size 7 (9.0 its/hit = 0.000s/hit): seed=1671578053221060102 [0, 1, 3, 4, 6, 9, 13]
Iter#15 New set #2 of size 7 (7.5 its/hit = 0.000s/hit): seed=1369495076583673979 [0, 2, 4, 7, 9, 12, 13]
Iter#16 New set #3 of size 7 (5.3 its/hit = 0.000s/hit): seed=264657481579643904 [0, 4, 8, 9, 10, 11, 13]
Iter#21 New set #4 of size 7 (5.2 its/hit = 0.000s/hit): seed=6425037247903295244 [0, 4, 8, 9, 10, 11, 13]
Iter#26 New set #5 of size 7 (5.2 its/hit = 0.000s/hit): seed=5111513481037785051 [0, 4, 5, 9, 13, 14, 15]
Iter#29 New set #6 of size 7 (4.8 its/hit = 0.000s/hit): seed=11804491963822725529 [0, 1, 3, 4, 6, 9, 13]
Iter#30 New set #7 of size 7 (4.3 its/hit = 0.000s/hit): seed=2652476612198633258 [0, 4, 5, 9, 13, 14, 15]
Iter#31 New set #8 of size 7 (3.9 its/hit = 0.000s/hit): seed=7695432470014704219 [0, 1, 3, 4, 6, 9, 13]
Iter#35 New set #9 of size 7 (3.9 its/hit = 0.000s/hit): seed=10468471607227013662 [0, 4, 8, 9, 10, 11, 13]
Iter#50 New set #10 of size 7 (5.0 its/hit = 0.000s/hit): seed=3752889711202601338 [2, 7, 8, 9, 10, 11, 12]
Iter#81 New set #20 of size 7 (4.1 its/hit = 0.000s/hit): seed=16168543630798793709 [0, 2, 4, 7, 9, 12, 13]
Iter#109 New set #30 of size 7 (3.6 its/hit = 0.000s/hit): seed=17929023106879368577 [2, 7, 8, 9, 10, 11, 12]
Iter#141 New set #40 of size 7 (3.5 its/hit = 0.000s/hit): seed=8647981024744220728 [0, 4, 5, 9, 13, 14, 15]
Iter#159 New set #50 of size 7 (3.2 its/hit = 0.000s/hit): seed=4245279464872501032 [2, 7, 8, 9, 10, 11, 12]
Iter#199 New set #60 of size 7 (3.3 its/hit = 0.000s/hit): seed=12397191306044777939 [1, 3, 4, 5, 6, 14, 15]
Iter#239 New set #70 of size 7 (3.4 its/hit = 0.000s/hit): seed=13999279397071561483 [2, 7, 8, 9, 10, 11, 12]
Iter#268 New set #80 of size 7 (3.3 its/hit = 0.000s/hit): seed=3805187928409702408 [0, 4, 5, 9, 13, 14, 15]
Iter#304 New set #90 of size 7 (3.4 its/hit = 0.000s/hit): seed=6267559676821643051 [1, 3, 4, 5, 6, 14, 15]
Iter#343 New set #100 of size 7 (3.4 its/hit = 0.000s/hit): seed=14582371152472458718 [0, 1, 3, 4, 6, 9, 13]
Iter#693 New set #200 of size 7 (3.5 its/hit = 0.000s/hit): seed=8124083910278758368 [0, 4, 8, 9, 10, 11, 13]
Iter#960 New set #300 of size 7 (3.2 its/hit = 0.000s/hit): seed=13402723685560172253 [0, 4, 8, 9, 10, 11, 13]
Iter#1259 New set #400 of size 7 (3.1 its/hit = 0.000s/hit): seed=18408214423966744521 [1, 3, 4, 5, 6, 14, 15]
Iter#1557 New set #500 of size 7 (3.1 its/hit = 0.000s/hit): seed=18106270652787713259 [0, 2, 4, 7, 9, 12, 13]
Iter#1911 New set #600 of size 7 (3.2 its/hit = 0.000s/hit): seed=7268296764841535772 [1, 3, 4, 5, 6, 14, 15]
Iter#2226 New set #700 of size 7 (3.2 its/hit = 0.000s/hit): seed=15407771550272095022 [1, 3, 4, 5, 6, 14, 15]
Iter#2536 New set #800 of size 7 (3.2 its/hit = 0.000s/hit): seed=11385276973454809714 [0, 4, 5, 9, 13, 14, 15]
Iter#2851 New set #900 of size 7 (3.2 its/hit = 0.000s/hit): seed=9903227729887447480 [0, 4, 8, 9, 10, 11, 13]
Iter#3146 New set #1000 of size 7 (3.1 its/hit = 0.000s/hit): seed=17152107877700305818 [0, 1, 3, 4, 6, 9, 13]
Iter#6352 New set #2000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15834938903391570900 [2, 7, 8, 9, 10, 11, 12]
Iter#9547 New set #3000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14593082350530145227 [1, 3, 4, 5, 6, 14, 15]
Iter#12860 New set #4000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16511643099471139422 [2, 7, 8, 9, 10, 11, 12]
Iter#16078 New set #5000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3128317604124241942 [0, 4, 5, 9, 13, 14, 15]
Iter#19227 New set #6000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8930019150546649646 [0, 4, 8, 9, 10, 11, 13]
Iter#22287 New set #7000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9852249093560488272 [0, 2, 4, 7, 9, 12, 13]
Iter#25606 New set #8000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2912377446193948848 [0, 2, 4, 7, 9, 12, 13]
Iter#28761 New set #9000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5347475008679881161 [2, 7, 8, 9, 10, 11, 12]
Iter#31919 New set #10000 of size 7 (3.2 its/hit = 0.000s/hit): seed=413241312072231710 [0, 1, 3, 4, 6, 9, 13]
Iter#64323 New set #20000 of size 7 (3.2 its/hit = 0.000s/hit): seed=17471828097152233327 [1, 3, 4, 5, 6, 14, 15]
Iter#96711 New set #30000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7255813710714813148 [0, 1, 3, 4, 6, 9, 13]
