[*] Computing DDT
[+] DDT Computed
DDT took 39.941µs
Iter#139161 New set #40000 of size 9 (3.5 its/hit = 0.000s/hit): seed=803443887469807625 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#173447 New set #50000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11724106392676071593 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#207471 New set #60000 of size 9 (3.5 its/hit = 0.000s/hit): seed=934264048714959296 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#241199 New set #70000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14969913997358421248 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#276006 New set #80000 of size 9 (3.5 its/hit = 0.000s/hit): seed=5213647683065434742 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#310467 New set #90000 of size 9 (3.4 its/hit = 0.000s/hit): seed=5270753647415607016 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#345118 New set #100000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7479815034084692235 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#689715 New set #200000 of size 9 (3.4 its/hit = 0.000s/hit): seed=7089266825616674780 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#1036876 New set #300000 of size 9 (3.5 its/hit = 0.000s/hit): seed=2365416212110392041 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#1381117 New set #400000 of size 9 (3.5 its/hit = 0.000s/hit): seed=6300049860272857314 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#1725840 New set #500000 of size 9 (3.5 its/hit = 0.000s/hit): seed=14470356893399859689 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#2072396 New set #600000 of size 9 (3.5 its/hit = 0.000s/hit): seed=15580456759772988910 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#2416941 New set #700000 of size 9 (3.5 its/hit = 0.000s/hit): seed=18295128285894080756 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#2761810 New set #800000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16505516899036964933 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#3105250 New set #900000 of size 9 (3.5 its/hit = 0.000s/hit): seed=14680423879344789027 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#3450009 New set #1000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4006135478000600807 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#6903476 New set #2000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=15711535410750285094 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#10355423 New set #3000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=1911522112914078604 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#13802230 New set #4000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11767332998776398424 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#17250315 New set #5000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11127615523245115644 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#20698186 New set #6000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10770471436778023535 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#24149028 New set #7000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1288931373368397665 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#27601266 New set #8000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=15938498413078017844 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#31047696 New set #9000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14667507065106207096 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#34496279 New set #10000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3731182083567411422 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#68989497 New set #20000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=13086686673385299419 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#103486189 New set #30000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=13263974457936888830 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#137989141 New set #40000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16303446119150726072 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#172486066 New set #50000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=9150669725962302966 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#206964447 New set #60000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=12598200778107120837 [1, 2, 3, 6, 8, 10, 12, 13, 14]
