[*] Computing DDT
[+] DDT Computed
DDT took 48.842µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=236908590162936294 [0, 3, 4, 5, 8, 11]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=16174898815859264570 [0, 3, 4, 6, 8, 9, 11]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=1049607167245029082 [0, 1, 2, 7, 9, 12, 13]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=3138483080141421732 [0, 1, 5, 6, 12, 13, 14]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=6111192903005668082 [0, 1, 3, 8, 11, 12, 13]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=17028391030839745180 [1, 4, 6, 9, 10, 11, 15]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=8757440263685895175 [2, 3, 7, 9, 12, 14, 15]
Iter#8 New set #7 of size 7 (1.1 its/hit = 0.000s/hit): seed=8718068642605745967 [2, 5, 7, 8, 9, 10, 12]
Iter#9 New set #8 of size 7 (1.1 its/hit = 0.000s/hit): seed=16323103288775706158 [0, 1, 4, 10, 12, 13, 15]
Iter#12 New set #9 of size 7 (1.3 its/hit = 0.000s/hit): seed=4803982074973221063 [0, 3, 5, 7, 8, 10, 11]
Iter#14 New set #10 of size 7 (1.4 its/hit = 0.000s/hit): seed=3281082110997298527 [2, 4, 6, 7, 9, 11, 12]
Iter#28 New set #20 of size 7 (1.4 its/hit = 0.000s/hit): seed=1058120303207194997 [0, 3, 5, 7, 8, 10, 11]
Iter#42 New set #30 of size 7 (1.4 its/hit = 0.000s/hit): seed=2733802103185021181 [1, 4, 5, 7, 8, 10, 15]
Iter#55 New set #40 of size 7 (1.4 its/hit = 0.000s/hit): seed=12044336090348550500 [0, 1, 5, 6, 12, 13, 14]
Iter#68 New set #50 of size 7 (1.4 its/hit = 0.000s/hit): seed=18072131136194502849 [0, 3, 4, 6, 8, 9, 11]
Iter#80 New set #60 of size 7 (1.3 its/hit = 0.000s/hit): seed=1372369679033834409 [2, 3, 5, 6, 13, 14, 15]
Iter#95 New set #70 of size 7 (1.4 its/hit = 0.000s/hit): seed=14042672724739441229 [0, 1, 5, 6, 12, 13, 14]
Iter#109 New set #80 of size 7 (1.4 its/hit = 0.000s/hit): seed=5330226287066940225 [0, 1, 5, 6, 12, 13, 14]
Iter#123 New set #90 of size 7 (1.4 its/hit = 0.000s/hit): seed=7671704097530791400 [4, 5, 6, 9, 11, 13, 14]
Iter#134 New set #100 of size 7 (1.3 its/hit = 0.000s/hit): seed=11338988285476467651 [5, 6, 7, 8, 10, 13, 14]
Iter#251 New set #200 of size 7 (1.3 its/hit = 0.000s/hit): seed=1824239691542575803 [0, 1, 2, 7, 9, 12, 13]
