[*] Computing DDT
[+] DDT Computed
DDT took 258.518µs
Iter#86132 New set #30000 of size 10 (2.9 its/hit = 0.000s/hit): seed=14384270727981967087 [0, 4, 27, 29, 33, 38, 41, 45, 60, 61]
Iter#114841 New set #40000 of size 10 (2.9 its/hit = 0.000s/hit): seed=581177701613307056 [0, 10, 15, 21, 27, 36, 38, 45, 46, 61]
Iter#143367 New set #50000 of size 10 (2.9 its/hit = 0.000s/hit): seed=2373452138125938593 [0, 5, 10, 20, 24, 25, 36, 38, 45, 46]
Iter#172011 New set #60000 of size 10 (2.9 its/hit = 0.000s/hit): seed=18000224198158042165 [0, 3, 12, 13, 14, 19, 27, 44, 53, 63]
Iter#200644 New set #70000 of size 10 (2.9 its/hit = 0.000s/hit): seed=2803985163386868170 [0, 3, 7, 13, 14, 19, 35, 44, 57, 63]
Iter#229131 New set #80000 of size 10 (2.9 its/hit = 0.000s/hit): seed=10876812346488570163 [0, 15, 22, 24, 40, 43, 51, 54, 57, 62]
Iter#257906 New set #90000 of size 10 (2.9 its/hit = 0.000s/hit): seed=17943926037688334852 [0, 1, 5, 11, 20, 25, 31, 49, 50, 61]
Iter#286693 New set #100000 of size 10 (2.9 its/hit = 0.000s/hit): seed=6560943927138943266 [0, 1, 10, 27, 36, 38, 46, 58, 59, 61]
Iter#574017 New set #200000 of size 10 (2.9 its/hit = 0.000s/hit): seed=4695602749856891300 [0, 2, 6, 26, 28, 33, 38, 44, 53, 55]
Iter#859925 New set #300000 of size 10 (2.9 its/hit = 0.000s/hit): seed=18163454322695375592 [0, 7, 20, 24, 28, 33, 36, 43, 49, 51]
Iter#1147336 New set #400000 of size 10 (2.9 its/hit = 0.000s/hit): seed=18408829139657810205 [0, 19, 27, 29, 33, 38, 44, 60, 61, 63]
Iter#1433639 New set #500000 of size 10 (2.9 its/hit = 0.000s/hit): seed=15403303179285303556 [0, 6, 19, 26, 28, 41, 43, 44, 50, 63]
Iter#1720601 New set #600000 of size 10 (2.9 its/hit = 0.000s/hit): seed=13490120099478161645 [0, 7, 10, 14, 16, 18, 34, 41, 50, 52]
Iter#2007429 New set #700000 of size 10 (2.9 its/hit = 0.000s/hit): seed=2508053392229804617 [0, 17, 19, 21, 24, 43, 46, 51, 52, 60]
Iter#2294450 New set #800000 of size 10 (2.9 its/hit = 0.000s/hit): seed=6785496441734197046 [0, 7, 11, 16, 20, 21, 31, 37, 45, 48]
Iter#2581647 New set #900000 of size 10 (2.9 its/hit = 0.000s/hit): seed=5677028503803653894 [0, 11, 21, 29, 33, 37, 47, 48, 53, 60]
Iter#2868657 New set #1000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=6004949152955136182 [0, 11, 12, 20, 27, 31, 38, 52, 56, 61]
Iter#5728556 New set #2000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=6142666479668039638 [0, 1, 2, 19, 35, 51, 53, 55, 58, 59]
Iter#8595916 New set #3000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=16124821233507256944 [0, 7, 18, 32, 37, 39, 40, 43, 49, 56]
Iter#11461081 New set #4000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=4787324703405166062 [0, 1, 27, 29, 36, 48, 52, 55, 58, 59]
Iter#14329629 New set #5000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=6054670334406430621 [0, 10, 12, 36, 46, 52, 53, 56, 59, 60]
Iter#17196719 New set #6000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=7373403134782291490 [0, 2, 7, 30, 32, 39, 47, 49, 53, 55]
Iter#20064201 New set #7000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=12734201769205859079 [0, 6, 16, 21, 26, 28, 29, 37, 48, 52]
Iter#22929956 New set #8000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=8659076155305553721 [0, 5, 15, 18, 22, 23, 40, 54, 57, 62]
Iter#25799835 New set #9000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=4841823938014672150 [0, 2, 4, 22, 40, 41, 45, 53, 55, 62]
Iter#28663121 New set #10000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=3368273786798580097 [0, 7, 11, 17, 20, 30, 31, 32, 36, 39]
Iter#57325290 New set #20000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=12976508992086777366 [0, 1, 9, 11, 22, 35, 42, 46, 58, 59]
Iter#85982504 New set #30000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=1898813062929869019 [0, 4, 6, 15, 24, 38, 43, 51, 54, 57]
Iter#114645909 New set #40000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=3497440862433368793 [0, 2, 8, 17, 22, 25, 42, 47, 53, 55]
Iter#143314942 New set #50000000 of size 10 (2.9 its/hit = 0.000s/hit): seed=14106965727902117815 [0, 19, 22, 25, 40, 44, 55, 60, 62, 63]
