[*] Computing DDT
[+] DDT Computed
DDT took 30.371µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=12976330666645205768 [1, 5, 6, 7, 12, 13, 14, 15]
Iter#220565 New set #60000 of size 9 (3.7 its/hit = 0.000s/hit): seed=17923545904045994298 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#257503 New set #70000 of size 9 (3.7 its/hit = 0.000s/hit): seed=9250837977955010196 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#294243 New set #80000 of size 9 (3.7 its/hit = 0.000s/hit): seed=4559965393365629944 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#330042 New set #90000 of size 9 (3.7 its/hit = 0.000s/hit): seed=2189154579076920014 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#366914 New set #100000 of size 9 (3.7 its/hit = 0.000s/hit): seed=7525343597655515919 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#733032 New set #200000 of size 9 (3.7 its/hit = 0.000s/hit): seed=8884831885511052256 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#1100501 New set #300000 of size 9 (3.7 its/hit = 0.000s/hit): seed=1127564475296382381 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#1468290 New set #400000 of size 9 (3.7 its/hit = 0.000s/hit): seed=13652651043834833500 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#1835530 New set #500000 of size 9 (3.7 its/hit = 0.000s/hit): seed=8680355326848499339 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#2200991 New set #600000 of size 9 (3.7 its/hit = 0.000s/hit): seed=6879438009811095618 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#2569027 New set #700000 of size 9 (3.7 its/hit = 0.000s/hit): seed=2643111909301657198 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#2934193 New set #800000 of size 9 (3.7 its/hit = 0.000s/hit): seed=5123134999514509488 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#3301266 New set #900000 of size 9 (3.7 its/hit = 0.000s/hit): seed=15643804961696695366 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#3668770 New set #1000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=2120379607212463425 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#7334042 New set #2000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=12344591364185577286 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#10993950 New set #3000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=8708031443167500018 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#14656697 New set #4000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=1852545786432098877 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#18321120 New set #5000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=16645136258325318460 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#21988637 New set #6000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=10716702301186978887 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#25655380 New set #7000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=178585927873998703 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#29317354 New set #8000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=6565775835779972278 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#32978152 New set #9000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=17719159645986498793 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#36643952 New set #10000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=14662458687279434697 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#73319686 New set #20000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=15772324203804085368 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#109963021 New set #30000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=4605072752730384704 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#146625698 New set #40000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=17239504806942157497 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#183276365 New set #50000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=4022353630532752998 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#219917301 New set #60000000 of size 9 (3.7 its/hit = 0.000s/hit): seed=13741194046712812545 [5, 6, 7, 10, 11, 12, 13, 14, 15]
