[*] Computing DDT
[+] DDT Computed
DDT took 29.34µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=5833088363916817521 [0, 1, 4, 6, 8, 9, 10]
Iter#3 New set #1 of size 8 (3.0 its/hit = 0.000s/hit): seed=9403611728099480943 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#8 New set #2 of size 8 (4.0 its/hit = 0.000s/hit): seed=11330720205074656557 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#12 New set #3 of size 8 (4.0 its/hit = 0.000s/hit): seed=17637035597581172389 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#16 New set #4 of size 8 (4.0 its/hit = 0.000s/hit): seed=16999113241805550170 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#19 New set #5 of size 8 (3.8 its/hit = 0.000s/hit): seed=1262243651872821494 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#24 New set #6 of size 8 (4.0 its/hit = 0.000s/hit): seed=9805399934279460084 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#25 New set #7 of size 8 (3.6 its/hit = 0.000s/hit): seed=11090758814601746814 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#39 New set #8 of size 8 (4.9 its/hit = 0.000s/hit): seed=14129605064623834060 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#40 New set #9 of size 8 (4.4 its/hit = 0.000s/hit): seed=18331770002361471140 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#41 New set #10 of size 8 (4.1 its/hit = 0.000s/hit): seed=4801046898086879290 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#63 New set #20 of size 8 (3.2 its/hit = 0.000s/hit): seed=7146247834137750705 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#86 New set #30 of size 8 (2.9 its/hit = 0.000s/hit): seed=719287222130090751 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#138 New set #40 of size 8 (3.5 its/hit = 0.000s/hit): seed=14683360807892854790 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#199 New set #50 of size 8 (4.0 its/hit = 0.000s/hit): seed=10626864386648376963 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#247 New set #60 of size 8 (4.1 its/hit = 0.000s/hit): seed=4860886559294070250 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#306 New set #70 of size 8 (4.4 its/hit = 0.000s/hit): seed=8647536791414381101 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#348 New set #80 of size 8 (4.3 its/hit = 0.000s/hit): seed=9232653974230389614 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#383 New set #90 of size 8 (4.3 its/hit = 0.000s/hit): seed=13970455732481732861 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#416 New set #100 of size 8 (4.2 its/hit = 0.000s/hit): seed=18329032786653787878 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#895 New set #200 of size 8 (4.5 its/hit = 0.000s/hit): seed=4381691288472804004 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#1368 New set #300 of size 8 (4.6 its/hit = 0.000s/hit): seed=15813484265726737823 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#1799 New set #400 of size 8 (4.5 its/hit = 0.000s/hit): seed=3745424535239791637 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#2214 New set #500 of size 8 (4.4 its/hit = 0.000s/hit): seed=16484117411810174787 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#2606 New set #600 of size 8 (4.3 its/hit = 0.000s/hit): seed=12841548301641932134 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#2973 New set #700 of size 8 (4.2 its/hit = 0.000s/hit): seed=10339679071282414369 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#3408 New set #800 of size 8 (4.3 its/hit = 0.000s/hit): seed=4003695640568740290 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#3842 New set #900 of size 8 (4.3 its/hit = 0.000s/hit): seed=5616235782168515933 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#4310 New set #1000 of size 8 (4.3 its/hit = 0.000s/hit): seed=17132770916943522739 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#8412 New set #2000 of size 8 (4.2 its/hit = 0.000s/hit): seed=11049868394669406191 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#12732 New set #3000 of size 8 (4.2 its/hit = 0.000s/hit): seed=3568054179195390805 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#17016 New set #4000 of size 8 (4.3 its/hit = 0.000s/hit): seed=13458356129683398461 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#21106 New set #5000 of size 8 (4.2 its/hit = 0.000s/hit): seed=12370679017467809555 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#25282 New set #6000 of size 8 (4.2 its/hit = 0.000s/hit): seed=9022431498036705190 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#29355 New set #7000 of size 8 (4.2 its/hit = 0.000s/hit): seed=11956022115370484335 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#33841 New set #8000 of size 8 (4.2 its/hit = 0.000s/hit): seed=12698208339027471658 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#38181 New set #9000 of size 8 (4.2 its/hit = 0.000s/hit): seed=3379603692166457457 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#42419 New set #10000 of size 8 (4.2 its/hit = 0.000s/hit): seed=18075685808494082499 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#85266 New set #20000 of size 8 (4.3 its/hit = 0.000s/hit): seed=1438294452728015915 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#127985 New set #30000 of size 8 (4.3 its/hit = 0.000s/hit): seed=15666045542903818967 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#171315 New set #40000 of size 8 (4.3 its/hit = 0.000s/hit): seed=16303868052266741024 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#214657 New set #50000 of size 8 (4.3 its/hit = 0.000s/hit): seed=10829863826164538681 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#257635 New set #60000 of size 8 (4.3 its/hit = 0.000s/hit): seed=16469302517925468905 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#300336 New set #70000 of size 8 (4.3 its/hit = 0.000s/hit): seed=15385200800712346633 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#343307 New set #80000 of size 8 (4.3 its/hit = 0.000s/hit): seed=11282279156916474174 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#386014 New set #90000 of size 8 (4.3 its/hit = 0.000s/hit): seed=147114399364385675 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#428803 New set #100000 of size 8 (4.3 its/hit = 0.000s/hit): seed=7646872785638061408 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#856185 New set #200000 of size 8 (4.3 its/hit = 0.000s/hit): seed=5388132272116139967 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#1284270 New set #300000 of size 8 (4.3 its/hit = 0.000s/hit): seed=7523727284705290887 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#1711542 New set #400000 of size 8 (4.3 its/hit = 0.000s/hit): seed=16194192549405582168 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#2140791 New set #500000 of size 8 (4.3 its/hit = 0.000s/hit): seed=1084493334116638731 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#2569815 New set #600000 of size 8 (4.3 its/hit = 0.000s/hit): seed=3726895298806469706 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#3000963 New set #700000 of size 8 (4.3 its/hit = 0.000s/hit): seed=35518801698592136 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#3429407 New set #800000 of size 8 (4.3 its/hit = 0.000s/hit): seed=3164949348714176041 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#3855956 New set #900000 of size 8 (4.3 its/hit = 0.000s/hit): seed=17365149206851473986 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#4284288 New set #1000000 of size 8 (4.3 its/hit = 0.000s/hit): seed=17591285083211956354 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#8569016 New set #2000000 of size 8 (4.3 its/hit = 0.000s/hit): seed=15155109579896976186 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#12854764 New set #3000000 of size 8 (4.3 its/hit = 0.000s/hit): seed=17640231061854214047 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#17140678 New set #4000000 of size 8 (4.3 its/hit = 0.000s/hit): seed=6928282683221583398 [0, 1, 8, 9, 12, 13, 14, 15]
Iter#21422662 New set #5000000 of size 8 (4.3 its/hit = 0.000s/hit): seed=13382029737328154656 [0, 1, 8, 9, 12, 13, 14, 15]
