[*] Computing DDT
[+] DDT Computed
DDT took 43.471µs
Iter#166558 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13029953390573959581 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#187800 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4827444117261511192 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#208562 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5730403191078076696 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#417556 New set #200000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5644005466467429904 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#626490 New set #300000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7545978115382467404 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#835930 New set #400000 of size 8 (2.1 its/hit = 0.000s/hit): seed=8614930085683136468 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#1044379 New set #500000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10734087805417000521 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#1253192 New set #600000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10847428944254602454 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#1461926 New set #700000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12604234230520908768 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#1670375 New set #800000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4094581080586324408 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#1878650 New set #900000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11831516323206915434 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#2087622 New set #1000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=14780183898770459575 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#4174237 New set #2000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1006710262110585015 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#6260396 New set #3000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16334123715173944792 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#8348624 New set #4000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13774603444218727991 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#10439625 New set #5000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16606710583049858541 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#12526851 New set #6000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6588181028951698875 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#14615477 New set #7000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2723742886716554654 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#16704139 New set #8000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9559082233648259419 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#18792445 New set #9000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16711550458593674009 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#20880246 New set #10000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15684322122721145799 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#41775983 New set #20000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15411910591109049057 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#62670753 New set #30000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=8262895714203358971 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#83560814 New set #40000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10418477118700462335 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#104453813 New set #50000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15070095766032231529 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#125341792 New set #60000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=3789148156730631757 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#146227643 New set #70000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1586015741735125383 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#167109037 New set #80000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13014975009542490913 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#187995571 New set #90000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7748101876769544895 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#208885521 New set #100000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=18178085728769455096 [1, 2, 6, 8, 10, 11, 13, 14]
