[*] Computing DDT
[+] DDT Computed
DDT took 81.392µs
Iter#157185 New set #40000 of size 9 (3.9 its/hit = 0.000s/hit): seed=11015096447221975101 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#196777 New set #50000 of size 9 (3.9 its/hit = 0.000s/hit): seed=2180480421642664138 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#235647 New set #60000 of size 9 (3.9 its/hit = 0.000s/hit): seed=18192055215531184149 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#275754 New set #70000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15940256745172833235 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#315057 New set #80000 of size 9 (3.9 its/hit = 0.000s/hit): seed=6490286931553551712 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#353490 New set #90000 of size 9 (3.9 its/hit = 0.000s/hit): seed=9225803402642156493 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#392630 New set #100000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15980490088143832806 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#786309 New set #200000 of size 9 (3.9 its/hit = 0.000s/hit): seed=3151468204960876253 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1177532 New set #300000 of size 9 (3.9 its/hit = 0.000s/hit): seed=5306658030577895188 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1568118 New set #400000 of size 9 (3.9 its/hit = 0.000s/hit): seed=2193057387954952341 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1960856 New set #500000 of size 9 (3.9 its/hit = 0.000s/hit): seed=10917606097677836676 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#2353411 New set #600000 of size 9 (3.9 its/hit = 0.000s/hit): seed=17646068989727551907 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#2746470 New set #700000 of size 9 (3.9 its/hit = 0.000s/hit): seed=3241783623970479932 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#3138838 New set #800000 of size 9 (3.9 its/hit = 0.000s/hit): seed=13536105966906915423 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#3532497 New set #900000 of size 9 (3.9 its/hit = 0.000s/hit): seed=3869684224827351338 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#3924397 New set #1000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=9855422048127239332 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#7844437 New set #2000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=7878777857818075256 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#11766259 New set #3000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=17049833264148999546 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#15687794 New set #4000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=7942241377019146187 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#19607940 New set #5000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=14670119884549266987 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#23529059 New set #6000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=12576586165004259117 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#27453618 New set #7000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=11738359657138968416 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#31375674 New set #8000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=13138850243325748968 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#35297207 New set #9000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=2088813342075794449 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#39224807 New set #10000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=13769405992928776709 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#78450568 New set #20000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=14527450997477572331 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#117675279 New set #30000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=3263990971134269160 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#156914551 New set #40000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15922493384304561784 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#196142729 New set #50000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=17095833301988441029 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#235361098 New set #60000000 of size 9 (3.9 its/hit = 0.000s/hit): seed=14746582721495471714 [0, 1, 3, 5, 7, 8, 9, 13, 14]
