[*] Computing DDT
[+] DDT Computed
DDT took 47.202µs
Iter#172704 New set #50000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4151847197515218152 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#207753 New set #60000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9941686973302817902 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#242266 New set #70000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16839473635962470680 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#276895 New set #80000 of size 9 (3.5 its/hit = 0.000s/hit): seed=412574516498787270 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#311646 New set #90000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11067491877742823175 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#345897 New set #100000 of size 9 (3.5 its/hit = 0.000s/hit): seed=13446626247716086738 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#690535 New set #200000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9100165074120801535 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1035822 New set #300000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3070602604218028174 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1381632 New set #400000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9152755438256964742 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1726635 New set #500000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16697309808665321946 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2072052 New set #600000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16566795175900433629 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2415525 New set #700000 of size 9 (3.5 its/hit = 0.000s/hit): seed=2967483325911706939 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2759448 New set #800000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11093251983617518154 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#3103936 New set #900000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3979516502910137890 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#3448169 New set #1000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1385978539013916470 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#6901176 New set #2000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9606447023659882842 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#10352900 New set #3000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11857701749199089763 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#13805995 New set #4000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=8102424330867613647 [1, 6, 7, 8, 9, 11, 12, 13, 15]
