[*] Computing DDT
[+] DDT Computed
DDT took 41.822µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=11632997287862217812 [6, 8, 10, 11, 12, 14]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=8640987844437494360 [0, 5, 6, 7, 14, 15]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=14892422019530570959 [5, 6, 7, 11, 14, 15]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=2974542002627100141 [2, 3, 4, 5, 7, 8]
Iter#6 New set #5 of size 6 (1.2 its/hit = 0.000s/hit): seed=11100273083742993581 [2, 3, 4, 5, 8, 12]
Iter#7 New set #6 of size 6 (1.2 its/hit = 0.000s/hit): seed=16044357435688369884 [3, 5, 6, 7, 14, 15]
Iter#8 New set #7 of size 6 (1.1 its/hit = 0.000s/hit): seed=6788132214206456534 [5, 7, 9, 10, 12, 13]
Iter#9 New set #1 of size 7 (9.0 its/hit = 0.000s/hit): seed=10916790977608989340 [1, 2, 6, 7, 13, 14, 15]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=366410465963888169 [6, 7, 8, 10, 12, 14, 15]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=16530374058877330474 [0, 1, 2, 9, 11, 13, 14]
Iter#15 New set #4 of size 7 (3.8 its/hit = 0.000s/hit): seed=7338357442965074975 [6, 7, 8, 10, 12, 14, 15]
Iter#19 New set #5 of size 7 (3.8 its/hit = 0.000s/hit): seed=628889756200134812 [1, 2, 6, 7, 13, 14, 15]
Iter#20 New set #6 of size 7 (3.3 its/hit = 0.000s/hit): seed=17885201498102988236 [0, 1, 2, 9, 11, 13, 14]
Iter#25 New set #7 of size 7 (3.6 its/hit = 0.000s/hit): seed=4039786160158646195 [6, 7, 8, 10, 12, 14, 15]
Iter#27 New set #8 of size 7 (3.4 its/hit = 0.000s/hit): seed=6029440388358326041 [0, 2, 3, 4, 5, 9, 11]
Iter#28 New set #9 of size 7 (3.1 its/hit = 0.000s/hit): seed=3215740747962846405 [0, 2, 3, 4, 5, 9, 11]
Iter#38 New set #10 of size 7 (3.8 its/hit = 0.000s/hit): seed=17629801877863853543 [1, 2, 8, 10, 12, 13, 14]
Iter#70 New set #20 of size 7 (3.5 its/hit = 0.000s/hit): seed=1218441429840716906 [0, 1, 2, 9, 11, 13, 14]
Iter#101 New set #30 of size 7 (3.4 its/hit = 0.000s/hit): seed=16653866878911384434 [1, 2, 3, 4, 5, 13, 14]
Iter#131 New set #40 of size 7 (3.3 its/hit = 0.000s/hit): seed=6511761238252195254 [1, 2, 3, 4, 5, 13, 14]
Iter#147 New set #50 of size 7 (2.9 its/hit = 0.000s/hit): seed=800718373897730470 [1, 2, 6, 7, 13, 14, 15]
Iter#184 New set #60 of size 7 (3.1 its/hit = 0.000s/hit): seed=7550537509563336490 [1, 2, 8, 10, 12, 13, 14]
Iter#218 New set #70 of size 7 (3.1 its/hit = 0.000s/hit): seed=6719769314519735269 [0, 2, 3, 4, 5, 9, 11]
Iter#247 New set #80 of size 7 (3.1 its/hit = 0.000s/hit): seed=5967548386456625622 [1, 2, 3, 4, 5, 13, 14]
Iter#285 New set #90 of size 7 (3.2 its/hit = 0.000s/hit): seed=13402652639212761319 [1, 2, 8, 10, 12, 13, 14]
Iter#306 New set #100 of size 7 (3.1 its/hit = 0.000s/hit): seed=16588333287319939630 [0, 1, 2, 9, 11, 13, 14]
Iter#557 New set #200 of size 7 (2.8 its/hit = 0.000s/hit): seed=9194418122838908029 [6, 7, 8, 10, 12, 14, 15]
Iter#847 New set #300 of size 7 (2.8 its/hit = 0.000s/hit): seed=5122345103909845769 [6, 7, 8, 10, 12, 14, 15]
Iter#1120 New set #400 of size 7 (2.8 its/hit = 0.000s/hit): seed=17118474214963926947 [1, 2, 6, 7, 13, 14, 15]
Iter#1419 New set #500 of size 7 (2.8 its/hit = 0.000s/hit): seed=10829183925975706596 [0, 2, 3, 4, 5, 9, 11]
Iter#1739 New set #600 of size 7 (2.9 its/hit = 0.000s/hit): seed=11323536431790078653 [1, 2, 3, 4, 5, 13, 14]
Iter#2072 New set #700 of size 7 (3.0 its/hit = 0.000s/hit): seed=5460681275764193691 [1, 2, 8, 10, 12, 13, 14]
Iter#2359 New set #800 of size 7 (2.9 its/hit = 0.000s/hit): seed=1312839122271378626 [1, 2, 8, 10, 12, 13, 14]
Iter#2704 New set #900 of size 7 (3.0 its/hit = 0.000s/hit): seed=18429169335360384390 [0, 2, 3, 4, 5, 9, 11]
Iter#3032 New set #1000 of size 7 (3.0 its/hit = 0.000s/hit): seed=13781864605577144899 [1, 2, 8, 10, 12, 13, 14]
Iter#6184 New set #2000 of size 7 (3.1 its/hit = 0.000s/hit): seed=15962890524237618364 [0, 2, 3, 4, 5, 9, 11]
Iter#9461 New set #3000 of size 7 (3.2 its/hit = 0.000s/hit): seed=6054772689790737491 [6, 7, 8, 10, 12, 14, 15]
Iter#12624 New set #4000 of size 7 (3.2 its/hit = 0.000s/hit): seed=10697066155055146376 [1, 2, 6, 7, 13, 14, 15]
Iter#15837 New set #5000 of size 7 (3.2 its/hit = 0.000s/hit): seed=6533844521293524711 [1, 2, 3, 4, 5, 13, 14]
Iter#19046 New set #6000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15912911419346710571 [1, 2, 3, 4, 5, 13, 14]
Iter#22098 New set #7000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11212744982941743423 [0, 2, 3, 4, 5, 9, 11]
Iter#25267 New set #8000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12110466902834473913 [6, 7, 8, 10, 12, 14, 15]
Iter#28443 New set #9000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11379091562459489350 [1, 2, 6, 7, 13, 14, 15]
Iter#31560 New set #10000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11386629431387626911 [0, 2, 3, 4, 5, 9, 11]
Iter#63886 New set #20000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4282183058671943209 [6, 7, 8, 10, 12, 14, 15]
Iter#95883 New set #30000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16719010455884115603 [6, 7, 8, 10, 12, 14, 15]
Iter#128108 New set #40000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2318223827983608169 [6, 7, 8, 10, 12, 14, 15]
Iter#160288 New set #50000 of size 7 (3.2 its/hit = 0.000s/hit): seed=6621647007540526529 [1, 2, 6, 7, 13, 14, 15]
Iter#192480 New set #60000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2043550916289271426 [0, 2, 3, 4, 5, 9, 11]
Iter#224558 New set #70000 of size 7 (3.2 its/hit = 0.000s/hit): seed=18274680997290876709 [1, 2, 3, 4, 5, 13, 14]
Iter#257197 New set #80000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4801256928575738125 [1, 2, 8, 10, 12, 13, 14]
Iter#288976 New set #90000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15825826186430555180 [1, 2, 8, 10, 12, 13, 14]
Iter#320944 New set #100000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11090897773598972227 [1, 2, 8, 10, 12, 13, 14]
Iter#642705 New set #200000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7276362338927343267 [6, 7, 8, 10, 12, 14, 15]
Iter#964737 New set #300000 of size 7 (3.2 its/hit = 0.000s/hit): seed=57751793242334315 [0, 2, 3, 4, 5, 9, 11]
Iter#1287431 New set #400000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11158154631814845597 [0, 1, 2, 9, 11, 13, 14]
Iter#1610284 New set #500000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13830522589786160752 [0, 1, 2, 9, 11, 13, 14]
Iter#1932448 New set #600000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13086258468573026147 [1, 2, 8, 10, 12, 13, 14]
Iter#2253946 New set #700000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3411464003156898056 [6, 7, 8, 10, 12, 14, 15]
Iter#2574743 New set #800000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12083191465179016027 [6, 7, 8, 10, 12, 14, 15]
Iter#2896218 New set #900000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16323164288676780165 [0, 1, 2, 9, 11, 13, 14]
Iter#3217870 New set #1000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14269185212434161673 [6, 7, 8, 10, 12, 14, 15]
Iter#6435630 New set #2000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13486781587772955429 [1, 2, 3, 4, 5, 13, 14]
Iter#9651630 New set #3000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15260966655094008060 [0, 1, 2, 9, 11, 13, 14]
Iter#12870980 New set #4000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8841466849482092638 [0, 2, 3, 4, 5, 9, 11]
Iter#16090444 New set #5000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3010161374940554128 [0, 2, 3, 4, 5, 9, 11]
Iter#19311156 New set #6000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14994278479322509835 [6, 7, 8, 10, 12, 14, 15]
Iter#22533089 New set #7000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8278199710901321583 [1, 2, 3, 4, 5, 13, 14]
Iter#25749830 New set #8000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9761734765204739814 [0, 1, 2, 9, 11, 13, 14]
Iter#28966150 New set #9000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4828346202509666705 [6, 7, 8, 10, 12, 14, 15]
Iter#32187510 New set #10000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=17647951705670757783 [0, 2, 3, 4, 5, 9, 11]
Iter#64376471 New set #20000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=18286954898903605981 [1, 2, 6, 7, 13, 14, 15]
Iter#96542310 New set #30000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13450293225410151076 [1, 2, 3, 4, 5, 13, 14]
Iter#128728974 New set #40000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9101522263726612348 [6, 7, 8, 10, 12, 14, 15]
Iter#160911957 New set #50000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14441526124874891501 [1, 2, 6, 7, 13, 14, 15]
Iter#193125723 New set #60000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14177852712093096838 [1, 2, 3, 4, 5, 13, 14]
Iter#225323533 New set #70000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=768104382311442291 [1, 2, 8, 10, 12, 13, 14]
Iter#257509527 New set #80000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8647917155194387171 [1, 2, 6, 7, 13, 14, 15]
