[*] Computing DDT
[+] DDT Computed
DDT took 78.973µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=2355357580132899622 [0, 4, 5, 11, 13, 15]
Iter#3 New set #2 of size 6 (1.5 its/hit = 0.000s/hit): seed=6216159756735298681 [1, 2, 6, 8, 9, 15]
Iter#4 New set #3 of size 6 (1.3 its/hit = 0.000s/hit): seed=868053746294607335 [0, 3, 7, 8, 9, 13]
Iter#5 New set #4 of size 6 (1.2 its/hit = 0.000s/hit): seed=13511509654305399920 [2, 9, 10, 11, 12, 14]
Iter#6 New set #1 of size 7 (6.0 its/hit = 0.000s/hit): seed=8389688668616914911 [1, 7, 9, 10, 11, 12, 14]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=3279377089199551823 [0, 1, 3, 5, 6, 8, 15]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=14260550457646252159 [0, 3, 4, 5, 6, 11, 15]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=11613467180065445082 [0, 1, 4, 6, 8, 11, 15]
Iter#20 New set #5 of size 7 (4.0 its/hit = 0.000s/hit): seed=15054814215216648835 [0, 3, 5, 6, 7, 9, 13]
Iter#26 New set #6 of size 7 (4.3 its/hit = 0.000s/hit): seed=5621274633356657820 [0, 3, 4, 5, 6, 11, 15]
Iter#28 New set #7 of size 7 (4.0 its/hit = 0.000s/hit): seed=17119727105243493539 [3, 7, 9, 11, 12, 13, 14]
Iter#34 New set #8 of size 7 (4.2 its/hit = 0.000s/hit): seed=16392756538090056311 [0, 1, 3, 5, 6, 8, 15]
Iter#36 New set #9 of size 7 (4.0 its/hit = 0.000s/hit): seed=17103109866872947584 [0, 3, 4, 5, 6, 11, 15]
Iter#37 New set #10 of size 7 (3.7 its/hit = 0.000s/hit): seed=4786084491092187412 [1, 6, 7, 8, 10, 12, 15]
Iter#65 New set #20 of size 7 (3.2 its/hit = 0.000s/hit): seed=2409078511928731476 [1, 3, 7, 9, 10, 12, 13]
Iter#85 New set #30 of size 7 (2.8 its/hit = 0.000s/hit): seed=2038926026223941256 [3, 7, 9, 11, 12, 13, 14]
Iter#110 New set #40 of size 7 (2.8 its/hit = 0.000s/hit): seed=277340003718890712 [0, 3, 4, 5, 6, 11, 15]
Iter#136 New set #50 of size 7 (2.7 its/hit = 0.000s/hit): seed=8114605131931165641 [1, 3, 7, 9, 10, 12, 13]
Iter#168 New set #60 of size 7 (2.8 its/hit = 0.000s/hit): seed=1841423406191530742 [0, 3, 4, 5, 6, 11, 15]
Iter#187 New set #70 of size 7 (2.7 its/hit = 0.000s/hit): seed=17700972019664150486 [1, 6, 7, 8, 10, 12, 15]
Iter#225 New set #80 of size 7 (2.8 its/hit = 0.000s/hit): seed=11290596396602936888 [0, 3, 4, 5, 6, 11, 15]
Iter#249 New set #90 of size 7 (2.8 its/hit = 0.000s/hit): seed=7476597883131597846 [0, 1, 4, 6, 8, 11, 15]
Iter#276 New set #100 of size 7 (2.8 its/hit = 0.000s/hit): seed=13915877621782286865 [3, 7, 9, 11, 12, 13, 14]
Iter#537 New set #200 of size 7 (2.7 its/hit = 0.000s/hit): seed=3615396700474495031 [1, 3, 7, 9, 10, 12, 13]
Iter#797 New set #300 of size 7 (2.7 its/hit = 0.000s/hit): seed=7322266978013328000 [1, 7, 9, 10, 11, 12, 14]
Iter#996 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=262774972783710188 [3, 7, 9, 11, 12, 13, 14]
Iter#1223 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=323449440935111909 [0, 1, 3, 5, 6, 8, 15]
Iter#1466 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=4538755306499621870 [0, 3, 4, 5, 6, 11, 15]
Iter#1685 New set #700 of size 7 (2.4 its/hit = 0.000s/hit): seed=11695994932991866181 [0, 3, 5, 6, 7, 9, 13]
Iter#1923 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=13280609091069380009 [0, 1, 3, 5, 6, 8, 15]
Iter#2158 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=12506597226738647454 [0, 1, 3, 5, 6, 8, 15]
Iter#2409 New set #1000 of size 7 (2.4 its/hit = 0.000s/hit): seed=11746994606715740601 [1, 3, 7, 9, 10, 12, 13]
Iter#4981 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16567074266323942342 [0, 3, 5, 6, 7, 9, 13]
Iter#7531 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14041716988002921543 [0, 3, 4, 5, 6, 11, 15]
Iter#10056 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13821288349366289228 [1, 7, 9, 10, 11, 12, 14]
Iter#12611 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7629431424379916549 [1, 3, 7, 9, 10, 12, 13]
Iter#15165 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15218387875022389318 [1, 6, 7, 8, 10, 12, 15]
Iter#17714 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16423444242384753555 [0, 3, 5, 6, 7, 9, 13]
Iter#20184 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13691986737713656809 [0, 1, 4, 6, 8, 11, 15]
Iter#22683 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=321110265119151844 [0, 3, 5, 6, 7, 9, 13]
Iter#25108 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6591575393546611923 [0, 1, 4, 6, 8, 11, 15]
Iter#49794 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=431704090525162020 [1, 3, 7, 9, 10, 12, 13]
Iter#74621 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3892367981921700025 [3, 7, 9, 11, 12, 13, 14]
Iter#99562 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12531815397953018696 [1, 6, 7, 8, 10, 12, 15]
Iter#124390 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4829690594504811393 [3, 7, 9, 11, 12, 13, 14]
Iter#149436 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=477281944252847027 [0, 1, 3, 5, 6, 8, 15]
Iter#174151 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=529992507903085195 [1, 7, 9, 10, 11, 12, 14]
Iter#199141 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7599141389677666059 [1, 6, 7, 8, 10, 12, 15]
Iter#224147 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12178800210712893147 [1, 7, 9, 10, 11, 12, 14]
Iter#249141 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7644400636617076879 [0, 1, 4, 6, 8, 11, 15]
Iter#497813 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=492397367173257147 [0, 3, 5, 6, 7, 9, 13]
Iter#746366 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12638861861298399130 [1, 3, 7, 9, 10, 12, 13]
Iter#994404 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9392767640985332226 [1, 6, 7, 8, 10, 12, 15]
Iter#1244216 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6767798521780100007 [3, 7, 9, 11, 12, 13, 14]
Iter#1493314 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14450310983044883940 [1, 7, 9, 10, 11, 12, 14]
Iter#1741379 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=931533888280379160 [1, 7, 9, 10, 11, 12, 14]
Iter#1990174 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15344685284193356398 [0, 4, 9, 11, 12, 14, 15]
Iter#2240145 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12861631837195839194 [0, 3, 5, 6, 7, 9, 13]
Iter#2488608 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13236216317243941555 [0, 1, 4, 6, 8, 11, 15]
Iter#4980338 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3170313987017013238 [1, 6, 7, 8, 10, 12, 15]
Iter#7470064 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18341336343669486946 [0, 1, 3, 5, 6, 8, 15]
Iter#9960667 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1619487795802762538 [0, 3, 4, 5, 6, 11, 15]
Iter#12448192 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3157474220807864357 [3, 7, 9, 11, 12, 13, 14]
Iter#14939154 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10340375495290310715 [0, 1, 3, 5, 6, 8, 15]
Iter#17427190 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9181059090083613667 [0, 3, 5, 6, 7, 9, 13]
Iter#19917544 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8698347696635142730 [1, 7, 9, 10, 11, 12, 14]
Iter#22407557 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1678692483573161194 [1, 6, 7, 8, 10, 12, 15]
