[*] Computing DDT
[+] DDT Computed
DDT took 65.272µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=9321679923811649733 [0, 1, 6, 7, 9, 10, 14, 15]
Iter#207591 New set #60000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16371359577373297389 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#241889 New set #70000 of size 9 (3.5 its/hit = 0.000s/hit): seed=10803558945218753807 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#276416 New set #80000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3578561125879142766 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#310568 New set #90000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3430291353935970966 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#345259 New set #100000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7450397695009125146 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#688661 New set #200000 of size 9 (3.4 its/hit = 0.000s/hit): seed=15342632910490921708 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1029757 New set #300000 of size 9 (3.4 its/hit = 0.000s/hit): seed=5750177846771030931 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1372832 New set #400000 of size 9 (3.4 its/hit = 0.000s/hit): seed=2915405417495572477 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1716939 New set #500000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11454712622798680652 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2060277 New set #600000 of size 9 (3.4 its/hit = 0.000s/hit): seed=101714569894922944 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2402680 New set #700000 of size 9 (3.4 its/hit = 0.000s/hit): seed=6756513206028405751 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2746596 New set #800000 of size 9 (3.4 its/hit = 0.000s/hit): seed=7628848513526052095 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#3090679 New set #900000 of size 9 (3.4 its/hit = 0.000s/hit): seed=15495167965090526323 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#3435034 New set #1000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=8096790758824292427 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#6867697 New set #2000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1374360253697544430 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#10295642 New set #3000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=2953874724343644751 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#13722295 New set #4000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3888269044188992673 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#17154912 New set #5000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17520457370322443993 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#20580186 New set #6000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11091428354833766789 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#24013647 New set #7000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=9079133956402971108 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#27443642 New set #8000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3078400464452053916 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#30871457 New set #9000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14897106831951729987 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#34300588 New set #10000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10470537878438061176 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#68597379 New set #20000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14090526393446181311 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#102885393 New set #30000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10200403276693729479 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#137176670 New set #40000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=5986185773023077652 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#171462015 New set #50000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11110737315094892247 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#205751193 New set #60000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=12904301783250308266 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#240032994 New set #70000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=9140142214612381207 [0, 1, 4, 6, 7, 9, 12, 14, 15]
