[*] Computing DDT
[+] DDT Computed
DDT took 42.221µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18264643204794474856 [1, 7, 9, 11, 12, 15]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=3703296361191705785 [0, 2, 3, 4, 6, 8, 12]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=8620847250044681221 [3, 5, 6, 9, 11, 14, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=3768049105446213893 [0, 2, 3, 4, 6, 11, 14]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=14890571728428381929 [2, 5, 6, 8, 10, 12, 13]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=9214403634548573268 [0, 2, 3, 4, 6, 8, 12]
Iter#8 New set #6 of size 7 (1.3 its/hit = 0.000s/hit): seed=825718873038299105 [0, 1, 3, 5, 7, 9, 15]
Iter#9 New set #7 of size 7 (1.3 its/hit = 0.000s/hit): seed=12176076942281387045 [1, 2, 3, 5, 7, 10, 13]
Iter#10 New set #8 of size 7 (1.2 its/hit = 0.000s/hit): seed=147604898909816023 [0, 1, 3, 5, 7, 9, 15]
Iter#12 New set #9 of size 7 (1.3 its/hit = 0.000s/hit): seed=3916801782755321109 [1, 3, 5, 6, 7, 11, 14]
Iter#15 New set #10 of size 7 (1.5 its/hit = 0.000s/hit): seed=10226514231426699170 [0, 2, 4, 6, 7, 8, 12]
Iter#31 New set #20 of size 7 (1.5 its/hit = 0.000s/hit): seed=445292585259322121 [0, 2, 4, 6, 7, 8, 12]
Iter#43 New set #30 of size 7 (1.4 its/hit = 0.000s/hit): seed=3668934886058511986 [0, 1, 2, 4, 6, 8, 12]
Iter#60 New set #40 of size 7 (1.5 its/hit = 0.000s/hit): seed=1465363981225397507 [1, 2, 3, 5, 7, 10, 13]
Iter#75 New set #50 of size 7 (1.5 its/hit = 0.000s/hit): seed=3845358320510973570 [0, 2, 4, 6, 7, 8, 12]
Iter#92 New set #60 of size 7 (1.5 its/hit = 0.000s/hit): seed=3948551774370321123 [1, 3, 5, 7, 9, 10, 15]
Iter#106 New set #70 of size 7 (1.5 its/hit = 0.000s/hit): seed=6605535143134470847 [0, 1, 3, 5, 7, 9, 15]
Iter#124 New set #80 of size 7 (1.5 its/hit = 0.000s/hit): seed=3862874894790209331 [0, 2, 4, 5, 6, 8, 12]
Iter#142 New set #90 of size 7 (1.6 its/hit = 0.000s/hit): seed=15642410839867899644 [0, 1, 3, 5, 7, 9, 15]
Iter#158 New set #100 of size 7 (1.6 its/hit = 0.000s/hit): seed=2871352565380400426 [0, 2, 4, 6, 8, 11, 12]
Iter#292 New set #200 of size 7 (1.5 its/hit = 0.000s/hit): seed=13976623395225247311 [1, 3, 5, 7, 9, 10, 15]
Iter#451 New set #300 of size 7 (1.5 its/hit = 0.000s/hit): seed=17819349929871267818 [0, 2, 4, 5, 6, 10, 13]
Iter#582 New set #400 of size 7 (1.5 its/hit = 0.000s/hit): seed=4979588017964944253 [0, 2, 4, 6, 7, 8, 12]
Iter#721 New set #500 of size 7 (1.4 its/hit = 0.000s/hit): seed=8479919639180031964 [0, 2, 4, 5, 6, 10, 13]
Iter#865 New set #600 of size 7 (1.4 its/hit = 0.000s/hit): seed=17085632888013435750 [0, 1, 2, 4, 6, 8, 12]
Iter#1024 New set #700 of size 7 (1.5 its/hit = 0.000s/hit): seed=227418133680658533 [0, 2, 4, 6, 8, 12, 15]
Iter#1183 New set #800 of size 7 (1.5 its/hit = 0.000s/hit): seed=14532603117788514773 [1, 3, 5, 6, 7, 9, 15]
Iter#1321 New set #900 of size 7 (1.5 its/hit = 0.000s/hit): seed=6251433987231619553 [2, 3, 6, 8, 11, 12, 14]
Iter#1469 New set #1000 of size 7 (1.5 its/hit = 0.000s/hit): seed=2605022507846262524 [1, 3, 5, 6, 7, 9, 15]
Iter#2859 New set #2000 of size 7 (1.4 its/hit = 0.000s/hit): seed=9868070110097011686 [1, 3, 5, 7, 9, 14, 15]
Iter#4279 New set #3000 of size 7 (1.4 its/hit = 0.000s/hit): seed=1973473303678446367 [2, 5, 6, 8, 10, 12, 13]
Iter#5689 New set #4000 of size 7 (1.4 its/hit = 0.000s/hit): seed=3208939394400663052 [0, 2, 4, 6, 8, 12, 13]
Iter#7130 New set #5000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2705435609742113826 [2, 5, 6, 8, 10, 12, 13]
