[*] Computing DDT
[+] DDT Computed
DDT took 33.061µs
Iter#137216 New set #40000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1305644514525302768 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#171782 New set #50000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17501352516309742391 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#205739 New set #60000 of size 9 (3.4 its/hit = 0.000s/hit): seed=5761101307282254015 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#239959 New set #70000 of size 9 (3.4 its/hit = 0.000s/hit): seed=18414335028786255436 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#274438 New set #80000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11357447177055940598 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#308624 New set #90000 of size 9 (3.4 its/hit = 0.000s/hit): seed=11446137446603875728 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#342927 New set #100000 of size 9 (3.4 its/hit = 0.000s/hit): seed=7781618838441247932 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#687557 New set #200000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17193974560666475124 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#1031076 New set #300000 of size 9 (3.4 its/hit = 0.000s/hit): seed=15685953917069280169 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#1376323 New set #400000 of size 9 (3.4 its/hit = 0.000s/hit): seed=6695872920870804234 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#1720425 New set #500000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14617716165198552871 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2064660 New set #600000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3636190627418049149 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2407343 New set #700000 of size 9 (3.4 its/hit = 0.000s/hit): seed=12661709864883759359 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2751028 New set #800000 of size 9 (3.4 its/hit = 0.000s/hit): seed=13626010909504908820 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#3096177 New set #900000 of size 9 (3.4 its/hit = 0.000s/hit): seed=2017181669175889538 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#3440352 New set #1000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1203176872657814356 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#6878348 New set #2000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=2753768937035820519 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#10311257 New set #3000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=8815837934104526977 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#13753360 New set #4000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17155010759916330393 [1, 2, 6, 7, 8, 10, 12, 13, 14]
