[*] Computing DDT
[+] DDT Computed
DDT took 46.972µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14112286785682658163 [1, 3, 7, 8, 13, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=13208185979251386496 [1, 6, 7, 8, 10, 13, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=7306947145311650848 [1, 6, 7, 8, 10, 13, 14]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=16939407835462025067 [2, 3, 5, 6, 7, 11, 12]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=11369343216510483649 [1, 6, 9, 10, 11, 13, 15]
Iter#10 New set #5 of size 7 (2.0 its/hit = 0.000s/hit): seed=893964263788167332 [1, 2, 3, 6, 7, 8, 14]
Iter#13 New set #6 of size 7 (2.2 its/hit = 0.000s/hit): seed=16790541746477815678 [1, 2, 3, 6, 7, 10, 13]
Iter#18 New set #7 of size 7 (2.6 its/hit = 0.000s/hit): seed=8281896880702303946 [2, 3, 5, 6, 7, 11, 12]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=15611695039810335552 [1, 2, 3, 6, 7, 10, 13]
Iter#22 New set #9 of size 7 (2.4 its/hit = 0.000s/hit): seed=7794906012398179916 [2, 5, 9, 11, 12, 13, 15]
Iter#23 New set #10 of size 7 (2.3 its/hit = 0.000s/hit): seed=14966683733220186183 [1, 2, 3, 6, 7, 8, 14]
Iter#49 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=8843964502590400589 [1, 2, 3, 6, 7, 10, 13]
Iter#70 New set #30 of size 7 (2.3 its/hit = 0.000s/hit): seed=15909155851461266777 [1, 6, 9, 10, 11, 13, 15]
Iter#90 New set #40 of size 7 (2.2 its/hit = 0.000s/hit): seed=1893461054779802987 [2, 5, 9, 11, 12, 13, 15]
Iter#116 New set #50 of size 7 (2.3 its/hit = 0.000s/hit): seed=11555854237096671320 [1, 2, 3, 6, 7, 10, 13]
Iter#151 New set #60 of size 7 (2.5 its/hit = 0.000s/hit): seed=8252891104985802058 [2, 4, 5, 8, 9, 11, 12]
Iter#172 New set #70 of size 7 (2.5 its/hit = 0.000s/hit): seed=6345896652890464558 [1, 6, 7, 8, 10, 13, 14]
Iter#198 New set #80 of size 7 (2.5 its/hit = 0.000s/hit): seed=8215336316079929227 [4, 5, 8, 9, 11, 13, 15]
Iter#228 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=598465978930831683 [1, 6, 9, 10, 11, 13, 15]
Iter#247 New set #100 of size 7 (2.5 its/hit = 0.000s/hit): seed=11718297068390130465 [1, 2, 3, 6, 7, 10, 13]
Iter#495 New set #200 of size 7 (2.5 its/hit = 0.000s/hit): seed=16324531620423742296 [1, 2, 3, 6, 7, 8, 14]
Iter#776 New set #300 of size 7 (2.6 its/hit = 0.000s/hit): seed=9392569637214453438 [4, 5, 8, 9, 11, 13, 15]
Iter#1018 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=1722625700222333113 [4, 5, 8, 9, 11, 13, 15]
Iter#1294 New set #500 of size 7 (2.6 its/hit = 0.000s/hit): seed=16568902031721048798 [1, 2, 3, 6, 7, 8, 14]
Iter#1511 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=5423889376810731669 [1, 4, 5, 7, 8, 9, 14]
Iter#1757 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=4902346577695274519 [1, 2, 3, 6, 7, 10, 13]
Iter#1986 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=14895907348183906124 [1, 6, 9, 10, 11, 13, 15]
Iter#2279 New set #900 of size 7 (2.5 its/hit = 0.000s/hit): seed=10721251561724690053 [1, 6, 9, 10, 11, 13, 15]
Iter#2511 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14876018551898070017 [1, 4, 5, 7, 8, 9, 14]
Iter#5028 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5894233123354198632 [1, 6, 7, 8, 10, 13, 14]
Iter#7545 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3058931188552036145 [1, 6, 7, 8, 10, 13, 14]
Iter#10115 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16826252096731607045 [1, 4, 5, 7, 8, 9, 14]
Iter#12560 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6889592733917021600 [2, 3, 5, 6, 7, 11, 12]
Iter#14982 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7185318923019099216 [1, 2, 3, 6, 7, 8, 14]
Iter#17410 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17616526961639589326 [1, 6, 9, 10, 11, 13, 15]
Iter#19968 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6823278789264600379 [2, 4, 5, 8, 9, 11, 12]
Iter#22493 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3870799774112701088 [2, 3, 5, 6, 7, 11, 12]
Iter#24998 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1042766397062812040 [2, 4, 5, 8, 9, 11, 12]
Iter#49766 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6538907244887453316 [1, 6, 9, 10, 11, 13, 15]
Iter#74571 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16740518513774811385 [1, 4, 5, 7, 8, 9, 14]
Iter#98816 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17127512262945138413 [1, 2, 3, 6, 7, 8, 14]
Iter#123779 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4335377108317370369 [2, 5, 9, 11, 12, 13, 15]
Iter#148520 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9739572595921519693 [2, 4, 5, 8, 9, 11, 12]
Iter#173265 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15891216324470217754 [2, 4, 5, 8, 9, 11, 12]
Iter#197998 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10692999576202716216 [1, 2, 3, 6, 7, 10, 13]
Iter#222715 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6060873257893762753 [4, 5, 8, 9, 11, 13, 15]
Iter#247480 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12615376704097228759 [1, 6, 9, 10, 11, 13, 15]
Iter#496827 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8433550812416276540 [2, 3, 5, 6, 7, 11, 12]
Iter#746691 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=865512425002645585 [2, 5, 9, 11, 12, 13, 15]
Iter#995914 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13139234390624848642 [1, 4, 5, 7, 8, 9, 14]
Iter#1244634 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16350939728486699699 [2, 3, 5, 6, 7, 11, 12]
Iter#1493429 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7357890451813725960 [1, 6, 7, 8, 10, 13, 14]
Iter#1742460 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6184051183493770282 [2, 4, 5, 8, 9, 11, 12]
Iter#1992023 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5771717571775315362 [1, 4, 5, 7, 8, 9, 14]
Iter#2241065 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5860602189141004094 [4, 5, 8, 9, 11, 13, 15]
Iter#2490820 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7917605296247603645 [2, 3, 5, 6, 7, 11, 12]
