[*] Computing DDT
[+] DDT Computed
DDT took 42.472µs
Iter#41954 New set #20000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17816498513240907608 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#62989 New set #30000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13590886027390703582 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#84000 New set #40000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4169250167038997048 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#104959 New set #50000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2601064134138586837 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#125510 New set #60000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7970439271334885129 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#146511 New set #70000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2398642081515887941 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#167348 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12435076003989057015 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#188029 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9099050323327966 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#208715 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17596584893389690335 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#417994 New set #200000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17677914852662262720 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#626528 New set #300000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15318366761907714466 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#835186 New set #400000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1467749378797562958 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#1045007 New set #500000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4531129539088318577 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#1254004 New set #600000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13497170439490762450 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#1463136 New set #700000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11603875451509544531 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#1672846 New set #800000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17908951879181921540 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#1881780 New set #900000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10295595804759705713 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#2091054 New set #1000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9545236730145752502 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#4184402 New set #2000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2072348550487504408 [0, 1, 3, 5, 6, 9, 12, 14]
