[*] Computing DDT
[+] DDT Computed
DDT took 76.033µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=13878200245269020517 [0, 3, 4, 5, 7, 11, 14]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=3637313231454461069 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#5 New set #2 of size 8 (2.5 its/hit = 0.000s/hit): seed=17042886415475169643 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#6 New set #3 of size 8 (2.0 its/hit = 0.000s/hit): seed=8568719478945842295 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#9 New set #4 of size 8 (2.2 its/hit = 0.000s/hit): seed=9380168335875228005 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#11 New set #5 of size 8 (2.2 its/hit = 0.000s/hit): seed=15344108888492963079 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#14 New set #6 of size 8 (2.3 its/hit = 0.000s/hit): seed=15708809478135627807 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#17 New set #7 of size 8 (2.4 its/hit = 0.000s/hit): seed=8967417172110360896 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#19 New set #8 of size 8 (2.4 its/hit = 0.000s/hit): seed=17169411218062584222 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#22 New set #9 of size 8 (2.4 its/hit = 0.000s/hit): seed=12328358558604019775 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#25 New set #10 of size 8 (2.5 its/hit = 0.000s/hit): seed=3966666599451411887 [0, 1, 3, 4, 6, 7, 9, 10]
Iter#37 New set #20 of size 8 (1.9 its/hit = 0.000s/hit): seed=8794215603319879738 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#60 New set #30 of size 8 (2.0 its/hit = 0.000s/hit): seed=18140462632131714642 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#74 New set #40 of size 8 (1.9 its/hit = 0.000s/hit): seed=9576416227831506987 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#87 New set #50 of size 8 (1.7 its/hit = 0.000s/hit): seed=3459785173499489225 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#103 New set #60 of size 8 (1.7 its/hit = 0.000s/hit): seed=17579211380387618198 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#121 New set #70 of size 8 (1.7 its/hit = 0.000s/hit): seed=545998180318661435 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#136 New set #80 of size 8 (1.7 its/hit = 0.000s/hit): seed=16045358247405808187 [0, 1, 3, 4, 6, 7, 9, 10]
Iter#150 New set #90 of size 8 (1.7 its/hit = 0.000s/hit): seed=11001451484583659974 [0, 1, 3, 4, 6, 7, 9, 10]
Iter#163 New set #100 of size 8 (1.6 its/hit = 0.000s/hit): seed=12862659195841255341 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#330 New set #200 of size 8 (1.6 its/hit = 0.000s/hit): seed=7029042050141428692 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#496 New set #300 of size 8 (1.7 its/hit = 0.000s/hit): seed=7521088245506554040 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#688 New set #400 of size 8 (1.7 its/hit = 0.000s/hit): seed=2962252356597470951 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#863 New set #500 of size 8 (1.7 its/hit = 0.000s/hit): seed=15660121167621487684 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#1017 New set #600 of size 8 (1.7 its/hit = 0.000s/hit): seed=11309613276637193978 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#1178 New set #700 of size 8 (1.7 its/hit = 0.000s/hit): seed=6978016183416855820 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#1348 New set #800 of size 8 (1.7 its/hit = 0.000s/hit): seed=1131810001349443701 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#1533 New set #900 of size 8 (1.7 its/hit = 0.000s/hit): seed=4569153276453325414 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#1697 New set #1000 of size 8 (1.7 its/hit = 0.000s/hit): seed=480543996455384696 [0, 2, 3, 4, 7, 9, 10, 11]
Iter#3344 New set #2000 of size 8 (1.7 its/hit = 0.000s/hit): seed=7368638353820628530 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#4998 New set #3000 of size 8 (1.7 its/hit = 0.000s/hit): seed=1869883218554753952 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#6658 New set #4000 of size 8 (1.7 its/hit = 0.000s/hit): seed=5511741913826168808 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#8341 New set #5000 of size 8 (1.7 its/hit = 0.000s/hit): seed=7033802433879727368 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#9988 New set #6000 of size 8 (1.7 its/hit = 0.000s/hit): seed=17654024785363146427 [0, 2, 3, 4, 7, 9, 10, 11]
Iter#11640 New set #7000 of size 8 (1.7 its/hit = 0.000s/hit): seed=12398239483074159632 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#13299 New set #8000 of size 8 (1.7 its/hit = 0.000s/hit): seed=10018683746582434077 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#14942 New set #9000 of size 8 (1.7 its/hit = 0.000s/hit): seed=6425730924263722501 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#16622 New set #10000 of size 8 (1.7 its/hit = 0.000s/hit): seed=937567659108869247 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#33183 New set #20000 of size 8 (1.7 its/hit = 0.000s/hit): seed=9197944467456225036 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#49979 New set #30000 of size 8 (1.7 its/hit = 0.000s/hit): seed=8354390563294717565 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#66862 New set #40000 of size 8 (1.7 its/hit = 0.000s/hit): seed=17587140746281029431 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#83682 New set #50000 of size 8 (1.7 its/hit = 0.000s/hit): seed=17262162096601425147 [0, 1, 3, 4, 6, 7, 9, 10]
Iter#100453 New set #60000 of size 8 (1.7 its/hit = 0.000s/hit): seed=13961271856656215085 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#117188 New set #70000 of size 8 (1.7 its/hit = 0.000s/hit): seed=13833253709015152659 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#133950 New set #80000 of size 8 (1.7 its/hit = 0.000s/hit): seed=2060823106381587152 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#150812 New set #90000 of size 8 (1.7 its/hit = 0.000s/hit): seed=8018989507278573711 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#167509 New set #100000 of size 8 (1.7 its/hit = 0.000s/hit): seed=5449557956051965167 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#335092 New set #200000 of size 8 (1.7 its/hit = 0.000s/hit): seed=8075771345858131160 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#502355 New set #300000 of size 8 (1.7 its/hit = 0.000s/hit): seed=4445178980081619242 [0, 1, 3, 4, 6, 7, 9, 10]
Iter#669239 New set #400000 of size 8 (1.7 its/hit = 0.000s/hit): seed=9231734933444519036 [0, 2, 3, 4, 7, 9, 10, 11]
Iter#836357 New set #500000 of size 8 (1.7 its/hit = 0.000s/hit): seed=9585216100149652198 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#1003257 New set #600000 of size 8 (1.7 its/hit = 0.000s/hit): seed=12230402231676998781 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#1171308 New set #700000 of size 8 (1.7 its/hit = 0.000s/hit): seed=5595028390957446744 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#1338981 New set #800000 of size 8 (1.7 its/hit = 0.000s/hit): seed=12768446112969961620 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#1506154 New set #900000 of size 8 (1.7 its/hit = 0.000s/hit): seed=5892225358680446564 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#1673578 New set #1000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=3482722562489078707 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#3347920 New set #2000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=2129102145941702401 [0, 2, 3, 9, 10, 11, 12, 13]
Iter#5022266 New set #3000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=17968889327427920126 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#6698421 New set #4000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=14450255414511917313 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#8373906 New set #5000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=3369920239284407071 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#10047985 New set #6000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=4607946999296348637 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#11722597 New set #7000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=13526550284477076018 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#13396442 New set #8000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=4537056808659207710 [0, 1, 3, 4, 6, 7, 8, 15]
Iter#15069746 New set #9000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=9083529012644698775 [0, 2, 3, 5, 9, 10, 11, 14]
Iter#16743952 New set #10000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=16581074242558691608 [0, 2, 3, 4, 7, 9, 10, 11]
Iter#33484549 New set #20000000 of size 8 (1.7 its/hit = 0.000s/hit): seed=9779732349250898550 [0, 2, 3, 9, 10, 11, 12, 13]
