[*] Computing DDT
[+] DDT Computed
DDT took 44.362µs
Iter#165041 New set #50000 of size 8 (3.3 its/hit = 0.000s/hit): seed=12727525953546103824 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#198486 New set #60000 of size 8 (3.3 its/hit = 0.000s/hit): seed=15901768076115652777 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#231677 New set #70000 of size 8 (3.3 its/hit = 0.000s/hit): seed=15583149618857755936 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#264954 New set #80000 of size 8 (3.3 its/hit = 0.000s/hit): seed=2477538090092691608 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#298076 New set #90000 of size 8 (3.3 its/hit = 0.000s/hit): seed=15213584732696940376 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#331060 New set #100000 of size 8 (3.3 its/hit = 0.000s/hit): seed=17149833156549154767 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#662729 New set #200000 of size 8 (3.3 its/hit = 0.000s/hit): seed=822068600294731808 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#994509 New set #300000 of size 8 (3.3 its/hit = 0.000s/hit): seed=16559145805601099742 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#1325986 New set #400000 of size 8 (3.3 its/hit = 0.000s/hit): seed=7905366710513242184 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#1656504 New set #500000 of size 8 (3.3 its/hit = 0.000s/hit): seed=3143712628168596502 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#1987418 New set #600000 of size 8 (3.3 its/hit = 0.000s/hit): seed=9108423999755398025 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#2318367 New set #700000 of size 8 (3.3 its/hit = 0.000s/hit): seed=13667265750197112152 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#2649195 New set #800000 of size 8 (3.3 its/hit = 0.000s/hit): seed=1779431832337636562 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#2980471 New set #900000 of size 8 (3.3 its/hit = 0.000s/hit): seed=2876377121366250179 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#3310858 New set #1000000 of size 8 (3.3 its/hit = 0.000s/hit): seed=3273903066465384571 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#6617537 New set #2000000 of size 8 (3.3 its/hit = 0.000s/hit): seed=5678135387362480910 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#9924611 New set #3000000 of size 8 (3.3 its/hit = 0.000s/hit): seed=8217361923276197079 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#13231970 New set #4000000 of size 8 (3.3 its/hit = 0.000s/hit): seed=18133245682865494555 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#16540604 New set #5000000 of size 8 (3.3 its/hit = 0.000s/hit): seed=18023000693102058008 [1, 6, 9, 10, 11, 13, 14, 15]
