[*] Computing DDT
[+] DDT Computed
DDT took 38.222µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=9831846001038130032 [0, 1, 10, 11, 12, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=456366313563972879 [0, 2, 3, 6, 8, 12]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=8661745333299681572 [0, 1, 4, 7, 8, 10, 11]
Iter#6 New set #2 of size 7 (3.0 its/hit = 0.000s/hit): seed=5668344090867194066 [0, 1, 4, 7, 8, 10, 11]
Iter#9 New set #3 of size 7 (3.0 its/hit = 0.000s/hit): seed=12304751820129723822 [2, 3, 6, 8, 12, 14, 15]
Iter#10 New set #4 of size 7 (2.5 its/hit = 0.000s/hit): seed=9505338493224625210 [2, 3, 6, 8, 12, 14, 15]
Iter#12 New set #5 of size 7 (2.4 its/hit = 0.000s/hit): seed=10760722609343756483 [2, 3, 6, 8, 12, 14, 15]
Iter#14 New set #6 of size 7 (2.3 its/hit = 0.000s/hit): seed=13858413944443858466 [0, 1, 4, 7, 8, 10, 11]
Iter#17 New set #7 of size 7 (2.4 its/hit = 0.000s/hit): seed=4336495040944487776 [2, 3, 6, 8, 12, 14, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=16985567906960394780 [0, 1, 4, 7, 8, 10, 11]
Iter#22 New set #9 of size 7 (2.4 its/hit = 0.000s/hit): seed=8675245192680925430 [0, 1, 9, 10, 11, 13, 14]
Iter#25 New set #10 of size 7 (2.5 its/hit = 0.000s/hit): seed=9502560193954727040 [2, 4, 6, 7, 8, 11, 12]
Iter#60 New set #20 of size 7 (3.0 its/hit = 0.000s/hit): seed=18070957073794686717 [2, 4, 6, 7, 8, 11, 12]
Iter#101 New set #30 of size 7 (3.4 its/hit = 0.000s/hit): seed=6393881644618013256 [0, 1, 9, 10, 11, 13, 14]
Iter#150 New set #40 of size 7 (3.8 its/hit = 0.000s/hit): seed=5204276842859899738 [2, 3, 9, 10, 13, 14, 15]
Iter#201 New set #50 of size 7 (4.0 its/hit = 0.000s/hit): seed=3025443797240030909 [0, 1, 9, 10, 11, 13, 14]
Iter#236 New set #60 of size 7 (3.9 its/hit = 0.000s/hit): seed=11792871337152668235 [0, 1, 4, 7, 8, 10, 11]
Iter#272 New set #70 of size 7 (3.9 its/hit = 0.000s/hit): seed=13114846870439709913 [0, 1, 4, 7, 8, 10, 11]
Iter#325 New set #80 of size 7 (4.1 its/hit = 0.000s/hit): seed=12288420290981622499 [0, 1, 9, 10, 11, 13, 14]
Iter#383 New set #90 of size 7 (4.3 its/hit = 0.000s/hit): seed=8562499045582383189 [2, 3, 9, 10, 13, 14, 15]
Iter#427 New set #100 of size 7 (4.3 its/hit = 0.000s/hit): seed=6917887416549697921 [2, 3, 6, 8, 12, 14, 15]
Iter#813 New set #200 of size 7 (4.1 its/hit = 0.000s/hit): seed=10812946122520729213 [2, 3, 9, 10, 13, 14, 15]
Iter#1252 New set #300 of size 7 (4.2 its/hit = 0.000s/hit): seed=2827187990177997238 [2, 3, 6, 8, 12, 14, 15]
Iter#1624 New set #400 of size 7 (4.1 its/hit = 0.000s/hit): seed=8732929840319729123 [0, 1, 9, 10, 11, 13, 14]
Iter#1937 New set #500 of size 7 (3.9 its/hit = 0.000s/hit): seed=17051008065395517364 [0, 1, 9, 10, 11, 13, 14]
Iter#2361 New set #600 of size 7 (3.9 its/hit = 0.000s/hit): seed=1459169522644357121 [2, 3, 9, 10, 13, 14, 15]
Iter#2749 New set #700 of size 7 (3.9 its/hit = 0.000s/hit): seed=957978276960023141 [2, 4, 6, 7, 8, 11, 12]
Iter#3174 New set #800 of size 7 (4.0 its/hit = 0.000s/hit): seed=9837209741080992162 [2, 4, 6, 7, 8, 11, 12]
Iter#3554 New set #900 of size 7 (3.9 its/hit = 0.000s/hit): seed=13535793501920709173 [0, 1, 4, 7, 8, 10, 11]
Iter#3929 New set #1000 of size 7 (3.9 its/hit = 0.000s/hit): seed=10478934832522726253 [0, 1, 9, 10, 11, 13, 14]
Iter#7708 New set #2000 of size 7 (3.9 its/hit = 0.000s/hit): seed=15109599830104370054 [2, 3, 6, 8, 12, 14, 15]
Iter#11459 New set #3000 of size 7 (3.8 its/hit = 0.000s/hit): seed=2160619669094389747 [0, 1, 9, 10, 11, 13, 14]
Iter#15233 New set #4000 of size 7 (3.8 its/hit = 0.000s/hit): seed=12657498134239506882 [0, 1, 4, 7, 8, 10, 11]
Iter#19102 New set #5000 of size 7 (3.8 its/hit = 0.000s/hit): seed=7487617109768620510 [2, 3, 6, 8, 12, 14, 15]
Iter#22853 New set #6000 of size 7 (3.8 its/hit = 0.000s/hit): seed=3197359605322793560 [2, 4, 6, 7, 8, 11, 12]
