[*] Computing DDT
[+] DDT Computed
DDT took 45.146µs
Iter#86119 New set #40000 of size 8 (2.2 its/hit = 0.000s/hit): seed=662806878651404636 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#107502 New set #50000 of size 8 (2.2 its/hit = 0.000s/hit): seed=4730125851479642762 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#128880 New set #60000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10823526103009492322 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#150464 New set #70000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4676072850163109633 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#171607 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12961033968752397308 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#193145 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6494444426253938230 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#214633 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12874837291313041994 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#428420 New set #200000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9310669463530947978 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#643018 New set #300000 of size 8 (2.1 its/hit = 0.000s/hit): seed=229516122508290687 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#857585 New set #400000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16905154768425375822 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#1072153 New set #500000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4335652421172196706 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#1285863 New set #600000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1981151453722021966 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#1500641 New set #700000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5739383485494033303 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#1714849 New set #800000 of size 8 (2.1 its/hit = 0.000s/hit): seed=18349549293368522808 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#1929367 New set #900000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10433043720750140865 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#2144186 New set #1000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13742365570179664631 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#4286695 New set #2000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2506063118174789411 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#6432427 New set #3000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6713625950860100981 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#8576964 New set #4000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10678640457814769961 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#10720236 New set #5000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5107021651026289695 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#12863438 New set #6000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13132551436982599680 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#15007824 New set #7000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13407215314615561083 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#17152143 New set #8000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17794993602993105554 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#19296232 New set #9000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12757697170960172129 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#21437398 New set #10000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12721148325304857069 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#42863682 New set #20000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4967174499899763706 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#64294164 New set #30000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7518959937095034854 [4, 5, 6, 7, 9, 10, 12, 15]
